éÌï ,îN,åé,éYã∆ï™óﬁ,ãKñÕ,èAã∆å`ë‘,åªã‡ããó^ëçäz,Ç´Ç‹Ç¡ÇƒéxããÇ∑ÇÈããó^,èäíËì‡ããó^,èäíËäOããó^,ì¡ï ããó^,ëçé¿òJì≠éûä‘,èäíËì‡òJì≠éûä‘,èäíËäOòJì≠éûä‘,èoãŒì˙êî,ëOåéññòJì≠é“êî,ëùâ¡òJì≠é“êî,å∏è≠òJì≠é“êî,ñ{åéññòJì≠é“êî,ÉpÅ[ÉgÉ^ÉCÉÄòJì≠é“êî
é¿êî,1960,CY,C   ,0,0,26250,22547,,,3703,193.6,170.8,22.8,23.0,,,,,
é¿êî,1960,CY,C   ,4,0,28786,24682,,,,193.2,168.4,24.8,22.8,,,,,
é¿êî,1960,CY,C   ,5,0,22422,19121,,,,196.7,175.1,21.6,23.5,,,,,
é¿êî,1960,CY,C   ,7,0,18826,16814,,,,187.9,176.3,11.6,23.4,,,,,
é¿êî,1960,CY,D   ,0,0,21213,17952,,,3261,211.0,186.4,24.6,24.1,,,,,
é¿êî,1960,CY,D   ,4,0,24597,20095,,,,215.8,182.8,33.0,23.6,,,,,
é¿êî,1960,CY,D   ,5,0,20781,17509,,,,208.6,184.8,23.8,24.0,,,,,
é¿êî,1960,CY,D   ,7,0,19142,16821,,,,209.8,190.8,19.0,24.5,,,,,
é¿êî,1960,CY,E   ,0,0,22630,18319,,,4311,207.0,182.0,25.0,24.2,,,,,
é¿êî,1960,CY,E   ,4,0,28690,22409,,,,200.3,173.8,26.5,24.2,,,,,
é¿êî,1960,CY,E   ,5,0,20293,16501,,,,207.9,184.9,23.0,24.1,,,,,
é¿êî,1960,CY,E   ,7,0,16897,14742,,,,215.3,190.2,25.1,24.3,,,,,
é¿êî,1960,CY,E12 ,0,0,15370,13448,,,1922,208.5,186.6,21.9,23.9,,,,,
é¿êî,1960,CY,E12 ,4,0,20112,16732,,,,223.1,185.3,37.8,23.7,,,,,
é¿êî,1960,CY,E12 ,5,0,16447,14128,,,,216.7,186.9,29.8,23.8,,,,,
é¿êî,1960,CY,E12 ,7,0,14624,12961,,,,204.5,186.6,17.9,23.9,,,,,
é¿êî,1960,CY,E13 ,0,0,16110,14409,,,1701,212.9,189.9,23.0,24.1,,,,,
é¿êî,1960,CY,E13 ,4,0,17647,14701,,,,205.4,181.7,23.7,23.9,,,,,
é¿êî,1960,CY,E13 ,5,0,16292,14176,,,,214.1,189.4,24.7,24.1,,,,,
é¿êî,1960,CY,E13 ,7,0,15848,14495,,,,213.1,191.0,22.1,24.1,,,,,
é¿êî,1960,CY,E14 ,0,0,25196,20515,,,4681,209.2,180.7,28.5,24.7,,,,,
é¿êî,1960,CY,E14 ,4,0,36288,28739,,,,196.0,168.3,27.7,24.8,,,,,
é¿êî,1960,CY,E14 ,5,0,21788,17770,,,,210.1,183.3,26.8,24.5,,,,,
é¿êî,1960,CY,E14 ,7,0,16319,14134,,,,222.8,192.0,30.8,24.6,,,,,
é¿êî,1960,CY,E19 ,0,0,16256,13503,,,2753,202.5,184.2,18.3,23.8,,,,,
é¿êî,1960,CY,E19 ,4,0,16485,13378,,,,198.6,183.1,15.5,23.8,,,,,
é¿êî,1960,CY,E19 ,5,0,14999,12757,,,,206.3,185.1,21.2,23.7,,,,,
é¿êî,1960,CY,E19 ,7,0,17707,15673,,,,213.9,188.1,25.8,24.0,,,,,
é¿êî,1960,CY,E21 ,0,0,22012,18262,,,3750,206.0,181.2,24.8,24.1,,,,,
é¿êî,1960,CY,E21 ,4,0,32160,25487,,,,197.7,168.3,29.4,24.2,,,,,
é¿êî,1960,CY,E21 ,5,0,21303,17583,,,,208.9,182.4,26.5,23.9,,,,,
é¿êî,1960,CY,E21 ,7,0,15971,14158,,,,208.2,188.6,19.6,24.2,,,,,
é¿êî,1960,CY,E22 ,0,0,34282,27319,,,6963,211.5,173.9,37.6,24.5,,,,,
é¿êî,1960,CY,E22 ,4,0,38796,30331,,,,209.1,168.8,40.3,24.8,,,,,
é¿êî,1960,CY,E22 ,5,0,27818,22621,,,,217.8,181.7,36.1,24.1,,,,,
é¿êî,1960,CY,E22 ,7,0,23385,20650,,,,213.8,185.9,27.9,23.7,,,,,
é¿êî,1960,CY,E23 ,0,0,28238,22319,,,5919,209.0,174.6,34.4,24.4,,,,,
é¿êî,1960,CY,E23 ,4,0,31977,24933,,,,205.7,168.9,36.8,24.4,,,,,
é¿êî,1960,CY,E23 ,5,0,24116,19098,,,,209.8,177.0,32.8,24.3,,,,,
é¿êî,1960,CY,E23 ,7,0,21195,17857,,,,218.7,190.3,28.4,24.2,,,,,
é¿êî,1960,CY,E24 ,0,0,20666,17565,,,3101,219.5,187.2,32.3,24.1,,,,,
