主要時系列統計データ表
2026/08/24 15:00
"","全国短観・判断項目（雇用人員）（四半期）","全国短観・判断項目（雇用人員）（四半期）","全国短観・判断項目（雇用人員）（四半期）"
"系列名称","D.I./雇用人員/大企業/全産業/実績","D.I./雇用人員/中堅企業/全産業/実績","D.I./雇用人員/中小企業/全産業/実績"
"データコード",CO'TK99F0000608GCQ01000,CO'TK99F0000608GCQ02000,CO'TK99F0000608GCQ03000
"単位",%ポイント,%ポイント,%ポイント
"収録開始期","1983/06","1983/06","1983/06"
"収録終了期","2026/06","2026/06","2026/06"
"最終更新日","2026/07/02","2026/07/02","2026/07/02"
1983/06,17,13,8
1983/09,16,11,8
1983/12,11,7,1
1984/03,9,1,-2
1984/06,10,6,-1
1984/09,9,3,-1
1984/12,8,-1,-5
1985/03,6,-3,-6
1985/06,9,2,-1
1985/09,8,3,-1
1985/12,10,0,-3
1986/03,9,1,0
1986/06,12,8,6
1986/09,14,9,8
1986/12,16,9,7
1987/03,17,10,8
1987/06,17,12,10
1987/09,14,8,5
1987/12,6,0,-6
1988/03,3,-4,-10
1988/06,2,-7,-10
1988/09,-2,-12,-14
1988/12,-9,-19,-21
1989/03,-15,-24,-24
1989/06,-14,-22,-25
1989/09,-20,-28,-29
1989/12,-26,-38,-37
1990/03,-31,-43,-42
1990/06,-28,-39,-38
1990/09,-32,-43,-43
1990/12,-37,-49,-47
1991/03,-40,-50,-47
1991/06,-32,-42,-42
1991/09,-31,-39,-40
1991/12,-28,-39,-38
1992/03,-24,-34,-32
1992/06,-12,-19,-21
1992/09,-3,-12,-16
1992/12,5,-6,-11
1993/03,11,0,-4
1993/06,16,10,2
1993/09,19,12,6
1993/12,26,17,7
1994/03,29,20,9
1994/06,28,20,10
1994/09,27,20,8
1994/12,26,16,4
1995/03,24,14,4
1995/06,24,16,7
1995/09,25,16,10
1995/12,24,14,6
1996/03,23,14,4
1996/06,22,13,5
1996/09,20,12,3
1996/12,17,6,-1
1997/03,11,3,-4
1997/06,11,5,0
1997/09,10,4,0
1997/12,12,5,2
1998/03,14,11,9
1998/06,21,19,17
1998/09,25,23,20
1998/12,29,24,20
1999/03,32,23,21
1999/06,32,23,21
1999/09,30,19,18
1999/12,29,16,14
2000/03,28,11,12
2000/06,25,11,14
2000/09,21,8,11
2000/12,20,6,9
2001/03,19,9,10
2001/06,21,12,15
2001/09,24,16,18
2001/12,28,18,20
2002/03,27,17,20
2002/06,24,14,19
2002/09,22,13,16
2002/12,22,12,14
2003/03,20,11,12
2003/06,19,12,16
2003/09,17,9,11
2003/12,16,7,9
2004/03,8,4,2
2004/06,6,3,5
2004/09,4,1,1
2004/12,3,-1,0
2005/03,1,-2,-2
2005/06,0,-3,1
2005/09,-1,-4,-2
2005/12,-2,-6,-5
2006/03,-6,-8,-8
2006/06,-7,-7,-4
2006/09,-8,-9,-8
2006/12,-11,-10,-10
2007/03,-13,-12,-10
2007/06,-11,-11,-7
2007/09,-12,-11,-6
2007/12,-13,-11,-8
2008/03,-12,-11,-8
2008/06,-9,-6,-3
2008/09,-6,-2,0
2008/12,1,4,5
2009/03,20,21,19
2009/06,20,22,23
2009/09,18,19,21
2009/12,15,16,16
2010/03,13,12,13
2010/06,8,10,13
2010/09,7,6,8
2010/12,6,5,7
2011/03,4,4,5
2011/06,7,7,9
2011/09,4,2,3
2011/12,4,2,1
2012/03,3,0,0
2012/06,3,1,1
2012/09,2,1,0
2012/12,4,-1,0
2013/03,3,-2,-3
2013/06,2,-1,-1
2013/09,-1,-5,-7
2013/12,-3,-8,-12
2014/03,-6,-12,-15
2014/06,-6,-10,-12
2014/09,-8,-13,-16
2014/12,-9,-15,-18
2015/03,-10,-17,-20
2015/06,-9,-16,-16
2015/09,-9,-18,-19
2015/12,-12,-21,-21
2016/03,-11,-21,-20
2016/06,-10,-19,-19
2016/09,-12,-20,-20
2016/12,-13,-23,-24
2017/03,-15,-26,-28
2017/06,-16,-25,-27
2017/09,-18,-30,-32
2017/12,-19,-33,-34
2018/03,-22,-34,-37
2018/06,-21,-32,-35
2018/09,-23,-33,-37
2018/12,-23,-34,-39
2019/03,-23,-35,-39
2019/06,-21,-34,-36
2019/09,-21,-32,-36
2019/12,-21,-31,-34
2020/03,-20,-28,-31
2020/06,-3,-6,-7
2020/09,-2,-7,-6
2020/12,-4,-10,-13
2021/03,-5,-11,-15
2021/06,-7,-14,-16
2021/09,-8,-16,-20
2021/12,-12,-21,-26
2022/03,-14,-23,-28
2022/06,-16,-23,-28
2022/09,-17,-27,-32
2022/12,-21,-30,-34
2023/03,-23,-32,-36
2023/06,-23,-31,-35
2023/09,-24,-34,-36
2023/12,-25,-36,-38
2024/03,-27,-37,-38
2024/06,-28,-36,-37
2024/09,-28,-37,-38
2024/12,-28,-36,-40
2025/03,-28,-38,-39
2025/06,-28,-37,-37
2025/09,-28,-37,-39
2025/12,-28,-39,-40
2026/03,-28,-39,-40
2026/06,-28,-38,-39
