effective_from,effective_to,grade,standard_monthly_yen,remuneration_lower_yen,remuneration_upper_yen,source_key,notes
1984-10-01,1992-09-30,1,68000,,70000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,2,72000,70000.0,74000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,3,76000,74000.0,78000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,4,80000,78000.0,83000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,5,86000,83000.0,89000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,6,92000,89000.0,95000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,7,98000,95000.0,101000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,8,104000,101000.0,107000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,9,110000,107000.0,114000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,10,118000,114000.0,122000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,11,126000,122000.0,130000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,12,134000,130000.0,138000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,13,142000,138000.0,146000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,14,150000,146000.0,155000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,15,160000,155000.0,165000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,16,170000,165000.0,175000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,17,180000,175000.0,185000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,18,190000,185000.0,195000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,19,200000,195000.0,210000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,20,220000,210000.0,230000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,21,240000,230000.0,250000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,22,260000,250000.0,270000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,23,280000,270000.0,290000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,24,300000,290000.0,310000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,25,320000,310000.0,330000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,26,340000,330000.0,350000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,27,360000,350000.0,370000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,28,380000,370000.0,395000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,29,410000,395000.0,425000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,30,440000,425000.0,455000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,31,470000,455000.0,485000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,32,500000,485000.0,515000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,33,530000,515000.0,545000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,34,560000,545000.0,575000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,35,590000,575000.0,605000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,36,620000,605000.0,635000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,37,650000,635000.0,665000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,38,680000,665000.0,695000.0,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1984-10-01,1992-09-30,39,710000,695000.0,,mhlw_health_grade_1984,健康保険標準報酬月額。分析対象では1990年以降を使用。
1992-10-01,1994-10-31,1,80000,,83000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,2,86000,83000.0,89000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,3,92000,89000.0,95000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,4,98000,95000.0,101000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,5,104000,101000.0,107000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,6,110000,107000.0,114000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,7,118000,114000.0,122000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,8,126000,122000.0,130000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,9,134000,130000.0,138000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,10,142000,138000.0,146000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,11,150000,146000.0,155000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,12,160000,155000.0,165000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,13,170000,165000.0,175000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,14,180000,175000.0,185000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,15,190000,185000.0,195000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,16,200000,195000.0,210000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,17,220000,210000.0,230000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,18,240000,230000.0,250000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,19,260000,250000.0,270000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,20,280000,270000.0,290000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,21,300000,290000.0,310000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,22,320000,310000.0,330000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,23,340000,330000.0,350000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,24,360000,350000.0,370000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,25,380000,370000.0,395000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,26,410000,395000.0,425000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,27,440000,425000.0,455000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,28,470000,455000.0,485000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,29,500000,485000.0,515000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,30,530000,515000.0,545000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,31,560000,545000.0,575000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,32,590000,575000.0,605000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,33,620000,605000.0,635000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,34,650000,635000.0,665000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,35,680000,665000.0,695000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,36,710000,695000.0,730000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,37,750000,730000.0,770000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,38,790000,770000.0,810000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,39,830000,810000.0,855000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,40,880000,855000.0,905000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
1992-10-01,1994-10-31,41,930000,905000.0,955000.0,mhlw_health_grade_1992,"下限80,000円、上限980,000円、42等級。"
