effective_from,effective_to,bracket_order,lower_bound_yen,upper_bound_yen,marginal_rate,quick_deduction_yen,source_key
1989-01-01,1994-12-31,1,0,3000000,0.10,0,mof_tax_history
1989-01-01,1994-12-31,2,3000000,6000000,0.20,300000,mof_tax_history
1989-01-01,1994-12-31,3,6000000,10000000,0.30,900000,mof_tax_history
1989-01-01,1994-12-31,4,10000000,20000000,0.40,1900000,mof_tax_history
1989-01-01,1994-12-31,5,20000000,,0.50,3900000,mof_tax_history
1995-01-01,1998-12-31,1,0,3300000,0.10,0,mof_tax_history
1995-01-01,1998-12-31,2,3300000,9000000,0.20,330000,mof_tax_history
1995-01-01,1998-12-31,3,9000000,18000000,0.30,1230000,mof_tax_history
1995-01-01,1998-12-31,4,18000000,30000000,0.40,3030000,mof_tax_history
1995-01-01,1998-12-31,5,30000000,,0.50,6030000,mof_tax_history
1999-01-01,2006-12-31,1,0,3300000,0.10,0,mof_tax_history
1999-01-01,2006-12-31,2,3300000,9000000,0.20,330000,mof_tax_history
1999-01-01,2006-12-31,3,9000000,18000000,0.30,1230000,mof_tax_history
1999-01-01,2006-12-31,4,18000000,,0.37,2490000,mof_tax_history
2007-01-01,2014-12-31,1,0,1950000,0.05,0,mof_2006_reform
2007-01-01,2014-12-31,2,1950000,3300000,0.10,97500,mof_2006_reform
2007-01-01,2014-12-31,3,3300000,6950000,0.20,427500,mof_2006_reform
2007-01-01,2014-12-31,4,6950000,9000000,0.23,636000,mof_2006_reform
2007-01-01,2014-12-31,5,9000000,18000000,0.33,1536000,mof_2006_reform
2007-01-01,2014-12-31,6,18000000,,0.40,2796000,mof_2006_reform
2015-01-01,,1,0,1950000,0.05,0,nta_income_tax_rates
2015-01-01,,2,1950000,3300000,0.10,97500,nta_income_tax_rates
2015-01-01,,3,3300000,6950000,0.20,427500,nta_income_tax_rates
2015-01-01,,4,6950000,9000000,0.23,636000,nta_income_tax_rates
2015-01-01,,5,9000000,18000000,0.33,1536000,nta_income_tax_rates
2015-01-01,,6,18000000,40000000,0.40,2796000,nta_income_tax_rates
2015-01-01,,7,40000000,,0.45,4796000,nta_income_tax_rates
