deduction_type,effective_from,effective_to,bracket_order,basis,lower_bound_yen,upper_bound_yen,rate,add_yen,fixed_yen,source_key,notes
salary_income,1989-01-01,1994-12-31,1,gross_salary,0,1625000,,,650000,mof_heisei_tax_history,salary_income_floor_zero
salary_income,1989-01-01,1994-12-31,2,gross_salary,1625001,1650000,0.40,0,,mof_heisei_tax_history,
salary_income,1989-01-01,1994-12-31,3,gross_salary,1650001,3300000,0.30,165000,,mof_heisei_tax_history,
salary_income,1989-01-01,1994-12-31,4,gross_salary,3300001,6000000,0.20,495000,,mof_heisei_tax_history,
salary_income,1989-01-01,1994-12-31,5,gross_salary,6000001,10000000,0.10,1095000,,mof_heisei_tax_history,
salary_income,1989-01-01,1994-12-31,6,gross_salary,10000001,,0.05,1595000,,mof_heisei_tax_history,

salary_income,1995-01-01,2012-12-31,1,gross_salary,0,1625000,,,650000,mof_heisei_tax_history,salary_income_floor_zero
salary_income,1995-01-01,2012-12-31,2,gross_salary,1625001,1800000,0.40,0,,mof_heisei_tax_history,
salary_income,1995-01-01,2012-12-31,3,gross_salary,1800001,3600000,0.30,180000,,mof_heisei_tax_history,
salary_income,1995-01-01,2012-12-31,4,gross_salary,3600001,6600000,0.20,540000,,mof_heisei_tax_history,
salary_income,1995-01-01,2012-12-31,5,gross_salary,6600001,10000000,0.10,1200000,,mof_heisei_tax_history,
salary_income,1995-01-01,2012-12-31,6,gross_salary,10000001,,0.05,1700000,,mof_heisei_tax_history,

salary_income,2013-01-01,2015-12-31,1,gross_salary,0,1625000,,,650000,nta_2013_reform,salary_income_floor_zero
salary_income,2013-01-01,2015-12-31,2,gross_salary,1625001,1800000,0.40,0,,nta_2013_reform,
salary_income,2013-01-01,2015-12-31,3,gross_salary,1800001,3600000,0.30,180000,,nta_2013_reform,
salary_income,2013-01-01,2015-12-31,4,gross_salary,3600001,6600000,0.20,540000,,nta_2013_reform,
salary_income,2013-01-01,2015-12-31,5,gross_salary,6600001,10000000,0.10,1200000,,nta_2013_reform,
salary_income,2013-01-01,2015-12-31,6,gross_salary,10000001,15000000,0.05,1700000,,nta_2013_reform,
salary_income,2013-01-01,2015-12-31,7,gross_salary,15000001,,,,2450000,nta_2013_reform,

salary_income,2016-01-01,2016-12-31,1,gross_salary,0,1625000,,,650000,nta_2016_reform,salary_income_floor_zero
salary_income,2016-01-01,2016-12-31,2,gross_salary,1625001,1800000,0.40,0,,nta_2016_reform,
salary_income,2016-01-01,2016-12-31,3,gross_salary,1800001,3600000,0.30,180000,,nta_2016_reform,
salary_income,2016-01-01,2016-12-31,4,gross_salary,3600001,6600000,0.20,540000,,nta_2016_reform,
salary_income,2016-01-01,2016-12-31,5,gross_salary,6600001,10000000,0.10,1200000,,nta_2016_reform,
salary_income,2016-01-01,2016-12-31,6,gross_salary,10000001,12000000,0.05,1700000,,nta_2016_reform,
salary_income,2016-01-01,2016-12-31,7,gross_salary,12000001,,,,2300000,nta_2016_reform,

salary_income,2017-01-01,2019-12-31,1,gross_salary,0,1625000,,,650000,nta_2017_2019,salary_income_floor_zero
salary_income,2017-01-01,2019-12-31,2,gross_salary,1625001,1800000,0.40,0,,nta_2017_2019,
salary_income,2017-01-01,2019-12-31,3,gross_salary,1800001,3600000,0.30,180000,,nta_2017_2019,
salary_income,2017-01-01,2019-12-31,4,gross_salary,3600001,6600000,0.20,540000,,nta_2017_2019,
salary_income,2017-01-01,2019-12-31,5,gross_salary,6600001,10000000,0.10,1200000,,nta_2017_2019,
salary_income,2017-01-01,2019-12-31,6,gross_salary,10000001,,,,2200000,nta_2017_2019,

salary_income,2020-01-01,2024-12-31,1,gross_salary,0,1625000,,,550000,nta_tax_answer_1410,salary_income_floor_zero
salary_income,2020-01-01,2024-12-31,2,gross_salary,1625001,1800000,0.40,-100000,,nta_tax_answer_1410,
salary_income,2020-01-01,2024-12-31,3,gross_salary,1800001,3600000,0.30,80000,,nta_tax_answer_1410,
salary_income,2020-01-01,2024-12-31,4,gross_salary,3600001,6600000,0.20,440000,,nta_tax_answer_1410,
salary_income,2020-01-01,2024-12-31,5,gross_salary,6600001,8500000,0.10,1100000,,nta_tax_answer_1410,
salary_income,2020-01-01,2024-12-31,6,gross_salary,8500001,,,,1950000,nta_tax_answer_1410,

salary_income,2025-01-01,,1,gross_salary,0,1900000,,,650000,nta_2025_reform,salary_income_floor_zero
salary_income,2025-01-01,,2,gross_salary,1900001,3600000,0.30,80000,,nta_2025_reform,
salary_income,2025-01-01,,3,gross_salary,3600001,6600000,0.20,440000,,nta_2025_reform,
salary_income,2025-01-01,,4,gross_salary,6600001,8500000,0.10,1100000,,nta_2025_reform,
salary_income,2025-01-01,,5,gross_salary,8500001,,,,1950000,nta_2025_reform,

basic,1989-01-01,1994-12-31,1,total_income,0,,,,350000,mof_heisei_tax_history,
basic,1995-01-01,2019-12-31,1,total_income,0,,,,380000,mof_heisei_tax_history,

basic,2020-01-01,2024-12-31,1,total_income,0,24000000,,,480000,nta_basic_deduction,
basic,2020-01-01,2024-12-31,2,total_income,24000001,24500000,,,320000,nta_basic_deduction,
basic,2020-01-01,2024-12-31,3,total_income,24500001,25000000,,,160000,nta_basic_deduction,
basic,2020-01-01,2024-12-31,4,total_income,25000001,,,,0,nta_basic_deduction,

basic,2025-01-01,2025-12-31,1,total_income,0,1320000,,,950000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,2,total_income,1320001,3360000,,,880000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,3,total_income,3360001,4890000,,,680000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,4,total_income,4890001,6550000,,,630000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,5,total_income,6550001,23500000,,,580000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,6,total_income,23500001,24000000,,,480000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,7,total_income,24000001,24500000,,,320000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,8,total_income,24500001,25000000,,,160000,nta_2025_basic_deduction,
basic,2025-01-01,2025-12-31,9,total_income,25000001,,,,0,nta_2025_basic_deduction,
