effective_from,effective_to,total_rate,employee_share
2000-04-01,2000-12-31,0.0060,0.5
2001-01-01,2001-03-31,0.0108,0.5
2001-04-01,2002-03-31,0.0109,0.5
2002-04-01,2003-03-31,0.0107,0.5
2003-04-01,2004-02-29,0.0089,0.5
2004-03-01,2005-02-28,0.0111,0.5
2005-03-01,2006-02-28,0.0125,0.5
2006-03-01,2008-02-29,0.0123,0.5
2008-03-01,2009-02-28,0.0113,0.5
2009-03-01,2010-02-28,0.0119,0.5
2010-03-01,2011-02-28,0.0150,0.5
2011-03-01,2012-02-29,0.0151,0.5
2012-03-01,2014-02-28,0.0155,0.5
2014-03-01,2015-03-31,0.0172,0.5
2015-04-01,2017-02-28,0.0158,0.5
2017-03-01,2018-02-28,0.0165,0.5
2018-03-01,2019-02-28,0.0157,0.5
2019-03-01,2020-02-29,0.0173,0.5
2020-03-01,2021-02-28,0.0179,0.5
2021-03-01,2022-02-28,0.0180,0.5
2022-03-01,2023-02-28,0.0164,0.5
2023-03-01,2024-02-29,0.0182,0.5
2024-03-01,2025-02-28,0.0160,0.5
2025-03-01,2026-02-28,0.0159,0.5
