effective_from,effective_to,insured_category,regular_total_rate,bonus_total_rate,employee_share,source_key,notes
1990-01-01,1990-12-31,general_male,0.1430,0,0.5,jps_pension_rate_history,
1990-01-01,1990-12-31,general_female,0.1380,0,0.5,jps_pension_rate_history,
1991-01-01,1991-12-31,general_male,0.1450,0,0.5,jps_pension_rate_history,
1991-01-01,1991-12-31,general_female,0.1415,0,0.5,jps_pension_rate_history,
1992-01-01,1992-12-31,general_male,0.1450,0,0.5,jps_pension_rate_history,
1992-01-01,1992-12-31,general_female,0.1430,0,0.5,jps_pension_rate_history,
1993-01-01,1993-12-31,general_male,0.1450,0,0.5,jps_pension_rate_history,
1993-01-01,1993-12-31,general_female,0.1445,0,0.5,jps_pension_rate_history,
1994-01-01,1994-10-31,general,0.1450,0,0.5,jps_pension_rate_history,
1994-11-01,1995-03-31,general,0.1650,0,0.5,jps_pension_rate_history,
1995-04-01,1996-09-30,general,0.1650,0.0100,0.5,jps_pension_rate_history,賞与特別保険料を導入
1996-10-01,2003-03-31,general,0.1735,0.0100,0.5,jps_pension_rate_history,
2003-04-01,2004-09-30,general,0.1358,0.1358,0.5,mhlw_total_remuneration,総報酬制
2004-10-01,2005-08-31,general,0.13934,0.13934,0.5,jps_pension_rate_history,
2005-09-01,2006-08-31,general,0.14288,0.14288,0.5,jps_pension_rate_history,
2006-09-01,2007-08-31,general,0.14642,0.14642,0.5,jps_pension_rate_history,
2007-09-01,2008-08-31,general,0.14996,0.14996,0.5,jps_pension_rate_history,
2008-09-01,2009-08-31,general,0.15350,0.15350,0.5,jps_pension_rate_history,
2009-09-01,2010-08-31,general,0.15704,0.15704,0.5,jps_pension_rate_history,
2010-09-01,2011-08-31,general,0.16058,0.16058,0.5,jps_pension_rate_history,
2011-09-01,2012-08-31,general,0.16412,0.16412,0.5,jps_pension_rate_history,
2012-09-01,2013-08-31,general,0.16766,0.16766,0.5,jps_pension_rate_history,
2013-09-01,2014-08-31,general,0.17120,0.17120,0.5,jps_pension_rate_history,
2014-09-01,2015-08-31,general,0.17474,0.17474,0.5,jps_pension_rate_history,
2015-09-01,2016-08-31,general,0.17828,0.17828,0.5,jps_pension_rate_history,
2016-09-01,2017-08-31,general,0.18182,0.18182,0.5,jps_pension_rate_history,
2017-09-01,,general,0.18300,0.18300,0.5,jps_pension_rate_history,
