fiscal_year,capital_transfers_paid,capital_transfers_received,changes_in_inventories,consumption_fixed_capital,gross_fixed_capital_formation,net_land_purchases,net_lending_capital_account,net_saving,net_fixed_capital_formation,net_capital_formation,net_capital_transfers,calculated_net_lending,net_lending_identity_residual,cumulative_net_saving,cumulative_net_capital_transfers,cumulative_net_fixed_capital_formation,cumulative_changes_in_inventories,cumulative_net_land_purchases,cumulative_net_capital_formation,cumulative_net_lending_capital_account,cumulative_calculated_net_lending,cumulative_net_lending_identity_residual
2015,2212.4,4843.3,1341.6,86975.5,95354.5,-171.4,36505.5,43423.8,8379.0,9549.2,2630.9,36505.5,0.0,43423.8,2630.9,8379.0,1341.6,-171.4,9549.2,36505.5,36505.5,0.0
2016,1745.7,4996.7,419.5,87968.8,95449.0,1123.3,35421.5,41193.6,7480.2,9023.0,3251.0,35421.6,0.1,84617.4,5881.9,15859.2,1761.1,951.9,18572.2,71927.0,71927.1,0.1
2017,1561.5,4619.7,1787.5,89957.9,99172.9,1492.5,33093.3,42530.1,9215.0,12495.0,3058.2,33093.3,-0.0,127147.5,8940.1,25074.2,3548.6,2444.4,31067.2,105020.3,105020.4,0.1
2018,1263.3,4264.4,2284.9,91983.1,103148.3,3607.7,25583.2,39639.9,11165.2,17057.8,3001.1,25583.2,0.0,166787.4,11941.2,36239.4,5833.5,6052.1,48125.0,130603.5,130603.6,0.1
2019,1543.5,4195.1,737.2,94130.0,102472.7,3230.8,18882.7,28541.7,8342.7,12310.7,2651.6,18882.6,-0.1,195329.1,14592.8,44582.1,6570.7,9282.9,60435.7,149486.2,149486.2,0.0
2020,911.1,5512.4,-1153.7,95243.2,97442.0,1815.2,24359.5,22618.5,2198.8,2860.3,4601.3,24359.5,-0.0,217947.6,19194.1,46780.9,5417.0,11098.1,63296.0,173845.7,173845.7,0.0
2021,989.8,6369.5,2262.4,98667.8,103122.1,2801.2,25104.5,29242.7,4454.3,9517.9,5379.7,25104.5,0.0,247190.3,24573.8,51235.2,7679.4,13899.3,72813.9,198950.2,198950.2,0.0
2022,748.9,4114.1,2315.7,104033.7,111703.7,4200.9,14810.9,25632.3,7670.0,14186.6,3365.2,14810.9,0.0,272822.6,27939.0,58905.2,9995.1,18100.2,87000.5,213761.1,213761.1,0.0
2023,1227.8,4573.7,-640.9,109423.6,116542.8,4880.0,25530.3,33542.6,7119.2,11358.3,3345.9,25530.2,-0.1,306365.2,31284.9,66024.4,9354.2,22980.2,98358.8,239291.4,239291.3,-0.1
2024,750.6,4531.0,72.0,114439.0,121543.7,7328.4,13856.2,24581.0,7104.7,14505.1,3780.4,13856.3,0.1,330946.2,35065.3,73129.1,9426.2,30308.6,112863.9,253147.6,253147.6,0.0
