side,component,component_name,cumulative_amount,net_lending_contribution
金融資産,monetary_gold_sdr_assets,貨幣用金・SDR,0.0,0.0
金融資産,cash_deposits_assets,現金・預金,131916.8,131916.8
金融資産,loans_assets,貸出,20423.2,20423.2
金融資産,debt_securities_assets,債務証券,8971.9,8971.9
金融資産,equity_investment_fund_assets,持分・投資信託受益証券,-10021.5,-10021.5
金融資産,insurance_pension_guarantee_assets,保険・年金・定型保証,2322.5,2322.5
金融資産,financial_derivatives_assets,金融派生商品等,0.0,0.0
金融資産,other_financial_assets,その他の金融資産,232336.9,232336.9
負債,monetary_gold_sdr_liabilities,貨幣用金・SDR,0.0,-0.0
負債,cash_deposits_liabilities,現金・預金,0.0,-0.0
負債,loans_liabilities,借入,182125.3,-182125.3
負債,debt_securities_liabilities,債務証券,39707.9,-39707.9
負債,equity_investment_fund_liabilities,持分・投資信託受益証券,6039.2,-6039.2
負債,insurance_pension_guarantee_liabilities,保険・年金・定型保証,-17540.0,17540.0
負債,financial_derivatives_liabilities,金融派生商品等,386.1,-386.1
負債,other_liabilities,その他の負債,33938.6,-33938.6
