fiscal_year,accounts_receivable_assets,cash_deposits_assets,debt_securities_assets,direct_investment_assets,entrusted_funds_assets,equity_investment_fund_assets,financial_assets_total,financial_derivatives_assets,fiscal_investment_fund_deposits_assets,foreign_portfolio_investment_assets,insurance_pension_guarantee_assets,loans_assets,monetary_gold_sdr_assets,net_lending_financial_detail,other_assets,other_external_claims_assets,other_financial_assets,trade_credit_assets
2015,426.6,12709.3,-284.8,11437.8,-3252.6,476.5,18185.6,0.0,-20.0,-2454.0,32.0,-606.9,0.0,,2871.3,-397.4,5859.5,-2752.2
2016,-332.5,14709.6,1634.6,15639.4,38.6,-1995.3,33032.9,0.0,-16.0,-1790.7,-23.2,1552.4,0.0,,-880.8,-27.0,17154.8,4523.8
2017,-221.8,12878.9,-2327.9,11112.9,-2509.3,387.1,37493.5,0.0,-21.5,5173.0,4.8,96.6,0.0,,2662.0,1220.1,26454.0,9038.6
2018,1130.8,6283.1,-278.9,20361.7,-483.6,-3865.1,39301.6,0.0,-28.5,4781.0,89.7,2374.8,0.0,,1815.7,1477.4,34698.0,5643.5
2019,939.6,7839.4,1917.6,15210.5,732.1,-520.9,14570.4,0.0,-32.5,2290.8,103.2,1182.1,0.0,,-2546.3,1274.9,4049.0,-13820.1
2020,983.8,43336.4,1753.6,9573.6,4521.1,3223.5,66977.3,0.0,-38.5,-1335.1,904.2,4372.3,0.0,,-505.3,556.0,13387.3,-368.3
2021,1005.4,8861.9,1076.5,12870.0,2001.5,-4310.4,43240.0,0.0,-17.0,1820.9,123.8,4544.0,0.0,,-1545.0,4629.6,32944.2,12178.8
2022,-14.2,11973.7,1745.4,15771.8,-2053.1,-2567.3,40525.8,0.0,25.0,2856.4,-49.0,1518.2,0.0,,131.2,1872.5,27904.8,9315.2
2023,1826.4,13621.1,23.8,20582.6,3766.6,2170.1,62480.9,0.0,45.0,3739.9,941.8,4098.6,0.0,,1523.6,2842.6,41625.5,7298.8
2024,-505.4,-296.6,3712.0,22290.6,5457.3,-3019.7,30141.8,0.0,30.0,2037.1,195.2,1291.1,0.0,,1081.6,1775.2,28259.8,-3906.6
