employment_type,indicator,start_year,start_value,end_year,end_value,change_rate_pct,annualized_change_pct,period
一般労働者,nominal_wage_amount,2015,332658.41666666669,2019,341023.75,2.5146916218613535,0.62282995000437769,2015→2019
一般労働者,working_hours,2015,168.65833333333333,2019,164.70833333333334,-2.3420129453036176,-0.59071684986591322,2015→2019
一般労働者,approx_hourly_wage,2015,1974.2619170684968,2019,2072.169988057261,4.9592240088460082,1.2173942962227402,2015→2019
一般労働者,real_regular_wage,2015,338672.5747121615,2019,340965.79851267359,0.6771211995719284,0.16885215253332753,2015→2019
一般労働者,real_approx_hourly_wage,2015,2009.9858512935455,2019,2071.8748901574572,3.0790783340132633,0.76103774523028633,2015→2019
パートタイム労働者,nominal_wage_amount,2015,95488.166666666672,2019,97246.166666666672,1.8410658214194076,0.45712247796558803,2015→2019
パートタイム労働者,working_hours,2015,89.016666666666666,2019,83.174999999999997,-6.5624414903576174,-1.6826033142485985,2015→2019
パートタイム労働者,approx_hourly_wage,2015,1072.7239344853813,2019,1169.171228906519,8.9908774588316032,2.1756801263541403,2015→2019
パートタイム労働者,real_regular_wage,2015,97211.831764879811,2019,97228.042752416848,0.016675940821930801,0.0041687245242671978,2015→2019
パートタイム労働者,real_approx_hourly_wage,2015,1092.1183911394824,2019,1168.9675519937032,7.0367060455816421,1.7145738541588962,2015→2019
一般労働者,nominal_wage_amount,2019,341023.75,2020,337393.08333333331,-1.0646374824822891,-1.0646374824822891,2019→2020
一般労働者,working_hours,2019,164.70833333333334,2020,160.375,-2.6309132304578875,-2.6309132304578875,2019→2020
一般労働者,approx_hourly_wage,2019,2072.169988057261,2020,2106.9843697507317,1.6800929409324539,1.6800929409324539,2019→2020
一般労働者,real_regular_wage,2019,340965.79851267359,2020,337425.50031515892,-1.0383147556024097,-1.0383147556024097,2019→2020
一般労働者,real_approx_hourly_wage,2019,2071.8748901574572,2020,2107.0932497262706,1.6998304162147981,1.6998304162147981,2019→2020
パートタイム労働者,nominal_wage_amount,2019,97246.166666666672,2020,96390.833333333328,-0.8795548067875969,-0.8795548067875969,2019→2020
パートタイム労働者,working_hours,2019,83.174999999999997,2020,79.341666666666654,-4.6087566376114779,-4.6087566376114779,2019→2020
パートタイム労働者,approx_hourly_wage,2019,1169.171228906519,2020,1215.593004038865,3.9704855871079303,3.9704855871079303,2019→2020
パートタイム労働者,real_regular_wage,2019,97228.042752416848,2020,96403.187787507413,-0.84837145905514166,-0.84837145905514166,2019→2020
パートタイム労働者,real_approx_hourly_wage,2019,1168.9675519937032,2020,1215.7084673707557,3.9984784263117135,3.9984784263117135,2019→2020
一般労働者,nominal_wage_amount,2020,337393.08333333331,2025,368085.08333333331,9.0968077047617779,1.7565580900394284,2020→2025
一般労働者,working_hours,2020,160.375,2025,160.55833333333334,0.11431540659911921,0.022852634074932432,2020→2025
一般労働者,approx_hourly_wage,2020,2106.9843697507317,2025,2294.5593282232962,8.9025320341961311,1.7202913642171858,2020→2025
一般労働者,real_regular_wage,2020,337425.50031515892,2025,328859.9102969048,-2.5385129488594615,-0.51293777074380431,2020→2025
一般労働者,real_approx_hourly_wage,2020,2107.0932497262706,2025,2050.1795837314207,-2.7010511282423488,-0.54614318214083468,2020→2025
パートタイム労働者,nominal_wage_amount,2020,96390.833333333328,2025,110319.08333333333,14.449766143046116,2.7360779104772526,2020→2025
パートタイム労働者,working_hours,2020,79.341666666666654,2025,79.058333333333337,-0.35710534607706901,-0.071523307735876784,2020→2025
パートタイム労働者,approx_hourly_wage,2020,1215.593004038865,2025,1395.5148140948838,14.801155440860558,2.7990856494193972,2020→2025
パートタイム労働者,real_regular_wage,2020,96403.187787507413,2025,98560.32531804977,2.2376205393717319,0.44357150056286709,2020→2025
パートタイム労働者,real_approx_hourly_wage,2020,1215.7084673707557,2025,1246.8013252176727,2.5575916168588009,0.50636419673513178,2020→2025
一般労働者,nominal_wage_amount,2019,341023.75,2025,368085.08333333331,7.9353221977452648,1.2808331792400596,2019→2025
一般労働者,working_hours,2019,164.70833333333334,2025,160.55833333333334,-2.5196053630154314,-0.42441196354006117,2019→2025
一般労働者,approx_hourly_wage,2019,2072.169988057261,2025,2294.5593282232962,10.732195787399368,1.7135905235525772,2019→2025
一般労働者,real_regular_wage,2019,340965.79851267359,2025,328859.9102969048,-3.550469949940982,-0.60069389517826144,2019→2025
一般労働者,real_approx_hourly_wage,2019,2071.8748901574572,2025,2050.1795837314207,-1.0471340006629304,-0.1752886936411957,2019→2025
パートタイム労働者,nominal_wage_amount,2019,97246.166666666672,2025,110319.08333333333,13.44311772357778,2.1244409816117749,2019→2025
パートタイム労働者,working_hours,2019,83.174999999999997,2025,79.058333333333337,-4.9494038673479572,-0.84244545983177543,2019→2025
パートタイム労働者,approx_hourly_wage,2019,1169.171228906519,2025,1395.5148140948838,19.359318771473298,2.9933984206998776,2019→2025
パートタイム労働者,real_regular_wage,2019,97228.042752416848,2025,98560.32531804977,1.3702657462985934,0.22708452975273019,2019→2025
パートタイム労働者,real_approx_hourly_wage,2019,1168.9675519937032,2025,1246.8013252176727,6.6583347922037683,1.0801318685860206,2019→2025
