fiscal_year,net_primary_income_balance,employee_compensation_received,net_operating_surplus_mixed_income,property_income_received,property_income_paid,net_property_income,employee_compensation_ratio,operating_mixed_income_ratio,net_property_income_ratio,primary_income_component_ratio_sum,primary_income_identity_residual
1994,341768.4,262824.1,44670.6,43388.6,9114.9,34273.7,76.90122901941781,13.070430150944324,10.028340829637846,99.99999999999997,-5.820766091346741e-11
1995,341329.1,267096.5,42916.9,39477.0,8161.2,31315.8,78.25189824131608,12.573466487328504,9.174664568593771,100.00002929723836,0.1000000000349246
1996,344134.4,272963.6,42011.2,36020.8,6861.1,29159.700000000004,79.31889401350169,12.207788584924959,8.473346459987727,100.00002905841437,0.09999999997671694
1997,350806.8,279055.6,43589.4,35185.7,7023.8,28161.899999999998,79.54680467995489,12.425471798152147,8.027752027611779,100.00002850571882,0.1000000000349246
1998,342419.5,273371.2,41068.1,34313.6,6333.4,27980.199999999997,79.83517293845706,11.99350504279108,8.171322018751852,100.0,0.0
1999,338698.7,269178.0,43534.8,31702.7,5716.8,25985.9,79.47417572019025,12.853548005941565,7.67227627386819,100.0,0.0
2000,336740.0,270739.0,41119.6,30012.1,5130.7,24881.399999999998,80.4000118786007,12.21108273445388,7.388905386945417,100.0,0.0
2001,324825.3,264611.2,39254.2,24342.8,3382.9,20959.899999999998,81.4626200606911,12.084711381779682,6.452668557529232,100.00000000000001,5.820766091346741e-11
2002,315846.3,256726.7,38843.3,22614.5,2338.3,20276.2,81.28216160835193,12.29816527849147,6.419641452187346,99.99996833903074,-0.09999999997671694
2003,312843.5,253735.3,39452.2,21492.3,1836.4,19655.899999999998,81.10614412637628,12.610842162295205,6.282981746464286,99.99996803513577,-0.09999999997671694
2004,313637.3,257080.6,37633.7,20690.7,1767.6,18923.100000000002,81.96748282171797,11.999114901193193,6.033434161051636,100.00003188396279,0.09999999997671694
2005,317593.4,262422.8,35633.8,21425.9,1889.1,19536.800000000003,82.62854328836808,11.219943487490609,6.151513224141309,100.0,-5.820766091346741e-11
2006,325258.9,266740.7,36343.4,24445.7,2270.9,22174.8,82.00873212078133,11.173683487215875,6.817584392002801,100.0,0.0
2007,327550.4,268371.0,36052.1,25875.7,2748.5,23127.2,81.93273462648801,11.00658097196645,7.060653871892692,99.99996947034717,-0.1000000000349246
2008,323533.9,266692.4,35282.9,24190.5,2631.9,21558.6,82.43105282012179,10.905472347719975,6.663474832158236,100.0,0.0
2009,310970.1,253707.1,35615.0,23658.8,2010.8,21648.0,81.58568942801897,11.452869584567777,6.96144098741326,100.0,0.0
2010,309763.9,252239.4,36155.6,22983.2,1614.3,21368.9,81.42956619541528,11.671986309573192,6.898447495011522,99.99999999999999,0.0
2011,309863.9,253160.5,34286.9,23812.0,1395.5,22416.5,81.70054659481146,11.065148279615663,7.234305125572872,99.99999999999999,0.0
2012,310803.4,252656.3,35108.8,24361.4,1323.0,23038.4,81.29135652956177,11.2961441219755,7.412531523142926,100.0000321746802,0.09999999997671694
2013,314620.0,255034.7,36401.1,24670.1,1486.0,23184.1,81.0611849214926,11.569862055813362,7.368921238319241,99.9999682156252,-0.1000000000349246
2014,317902.1,259724.9,35357.3,24889.5,2069.6,22819.9,81.69964904289716,11.12207185797137,7.178279099131463,100.0,5.820766091346741e-11
2015,324069.2,262494.6,37243.4,26110.2,1779.1,24331.100000000002,80.999551947547,11.492421988883855,7.507995205962184,99.99996914239306,-0.1000000000349246
2016,326283.6,267660.4,35078.4,25357.8,1813.1,23544.7,82.03305345411171,10.750892781616974,7.216023116086742,99.99996935181542,-0.09999999991850927
2017,331678.1,272510.4,34695.8,26370.3,1898.4,24471.899999999998,82.16110741107117,10.460684621625607,7.378207967303238,100.00000000000001,5.820766091346741e-11
2018,337936.8,280757.3,32002.9,26612.2,1435.5,25176.7,83.07982439320016,9.470084347132364,7.450120850999359,100.00002959133187,0.1000000000349246
2019,342660.4,286055.4,32273.7,25810.6,1479.4,24331.199999999997,83.48072902500552,9.418567187804602,7.100674603776799,99.99997081658691,-0.09999999997671694
2020,335358.1,281466.4,30323.0,24814.4,1245.8,23568.600000000002,83.93010337308091,9.041976323219867,7.02789048482801,99.99997018112879,-0.09999999997671694
2021,345776.7,288932.2,31145.4,26418.1,719.0,25699.1,83.5603440023576,9.00737383403798,7.432282163604429,100.0,0.0
2022,355887.2,296468.1,31875.7,28210.8,667.4,27543.399999999998,83.30395136436488,8.956686275876176,7.739362359758934,99.99999999999999,0.0
2023,363260.7,301686.8,34386.9,29077.8,1890.8,27187.0,83.04966653425487,9.466176770567253,7.484156695177871,100.0,0.0
2024,379263.9,314173.2,34481.4,32721.4,2112.1,30609.300000000003,82.83762309041278,9.091664142039356,8.070712767547874,100.00000000000001,0.0
