fiscal_year,net_primary_income_balance,current_taxes_paid,net_social_contributions_paid,social_benefits_received,net_other_current_transfers,net_disposable_income,current_taxes_ratio,net_social_contributions_ratio,social_benefits_ratio,net_other_current_transfers_ratio,disposable_income_to_primary_income_ratio,net_redistribution,net_redistribution_ratio,disposable_income_identity_residual
1994,341768.4,30799.3,57156.8,49559.7,-4988.700000000001,298383.3,9.01174596598164,16.723839886894165,14.50096029943084,-1.4596726906290929,87.30570175592594,-43385.100000000035,-12.694298244074067,5.820766091346741e-11
1995,341329.1,30360.3,60978.7,53592.2,-5430.600000000002,298151.7,8.894729456117279,17.865075084427318,15.701034573378008,-1.5910158260751877,87.35021420675824,-43177.399999999965,-12.649785793241763,0.0
1996,344134.4,29472.0,62110.7,54834.4,-5378.699999999997,302007.5,8.56409588811813,18.0483845846274,15.93400717859069,-1.56296493463019,87.75859082962934,-42126.90000000002,-12.241409170370652,-0.09999999997671694
1997,350806.8,30713.8,64151.1,57965.9,-4748.299999999999,309159.5,8.755189466110691,18.2867321842108,16.523596463922594,-1.3535370466022891,88.12813776699882,-41647.29999999999,-11.871862233001181,0.0
1998,342419.5,26693.7,64866.6,59972.2,-4120.5,306710.8,7.795613275528993,18.943605723389002,17.514247874317903,-1.2033485242516855,89.57165114720394,-35708.70000000001,-10.428348852796063,0.09999999997671694
1999,338698.7,25884.2,64300.1,62199.4,-3641.7000000000007,307072.1,7.642249586431834,18.984454324743496,18.364227556822627,-1.0752034182593557,90.66232022738792,-31626.600000000035,-9.337679772612068,0.0
2000,336740.0,29640.0,64596.3,63027.6,-3430.5,302100.8,8.802043119320544,19.182841361287643,18.71699233830255,-1.018738492605571,89.7133693650888,-34639.20000000001,-10.28663063491121,0.0
2001,324825.3,28533.9,68217.6,66072.1,-3442.0,290704.0,8.784383482444257,21.00131978635901,20.340810891269864,-1.0596465238391222,89.49549188440679,-34121.29999999999,-10.50450811559321,-0.1000000000349246
2002,315846.3,24576.7,68529.0,68720.0,-3610.699999999997,287849.9,7.781221435869283,21.69694563463305,21.757418085948768,-1.1431826176212916,91.13606839782516,-27996.399999999965,-8.863931602174844,-5.820766091346741e-11
2003,312843.5,23236.4,65919.1,66383.5,-3811.9000000000015,286259.7,7.427483709906071,21.070950810868695,21.219395640312168,-1.2184686592497531,91.50252442515188,-26583.79999999999,-8.497475574848124,-0.1000000000349246
2004,313637.3,24126.2,65061.8,67755.3,-3680.4000000000015,288524.3,7.692388628520906,20.74428009678696,21.60307463429892,-1.1734573661997478,91.99298042675409,-25113.0,-8.007019573245913,-0.1000000000349246
2005,317593.4,25145.5,65725.7,66802.7,-3208.5,290316.4,7.917513399207918,20.694919982594094,21.034032823100226,-1.010253991424255,91.41134544987396,-27277.0,-8.588654550126043,0.0
2006,325258.9,26465.6,67555.3,68238.7,-3654.899999999998,295821.8,8.136779654607452,20.769700690742052,20.979810237321715,-1.1236894670676183,90.94964042490457,-29437.100000000035,-9.050359575095419,5.820766091346741e-11
2007,327550.4,28638.3,68388.8,69458.3,-2920.5,297061.2,8.743173569624703,20.878863222270528,21.205377859407285,-0.8916185112275851,90.69175308593731,-30489.20000000001,-9.308246914062694,-0.09999999997671694
2008,323533.9,27847.2,68981.2,70685.5,-2732.5999999999985,294658.4,8.607196958340378,21.32116603546027,21.847942363999568,-0.8446101011362329,91.07496926906269,-28875.5,-8.925030730937314,0.0
2009,310970.1,25551.6,66461.7,74262.8,-1269.5,291950.2,8.216738522449587,21.372376315279187,23.881009781969396,-0.40823860557654906,93.88368849609658,-19019.899999999965,-6.116311503903419,-0.1000000000349246
2010,309763.9,24809.2,68085.9,75971.3,-3328.7999999999993,289511.3,8.009067551125227,21.979933749542795,24.525549943037262,-1.0746248998027204,93.46192374256651,-20252.600000000035,-6.538076257433495,5.820766091346741e-11
2011,309863.9,25108.1,69856.8,76782.0,-2936.5999999999985,288744.4,8.102944550817309,22.544349309487163,24.779265993876663,-0.9477063962597768,93.18426573731242,-21119.5,-6.815734262687585,5.820766091346741e-11
2012,310803.4,25953.0,71345.6,77093.3,-3413.699999999999,287184.4,8.35029475224531,22.95521863660436,24.804522730446322,-1.0983470579794168,92.40066228361724,-23619.0,-7.599337716382768,0.0
2013,314620.0,27749.4,72593.2,77498.1,-3448.699999999999,288326.8,8.819973301125167,23.07329476829191,24.632286567923213,-1.0961477337740764,91.64287076473205,-26293.20000000001,-8.357129235267946,0.0
2014,317902.1,27872.6,74933.9,76929.8,-3480.4000000000015,288545.0,8.767667781999553,23.5713762192826,24.199211014963414,-1.094802456479527,90.76536455720174,-29357.099999999977,-9.234635442798265,0.0
2015,324069.2,28598.1,76776.0,77820.1,-3394.7000000000007,293120.5,8.824689294755563,23.691236316194196,24.01342059041711,-1.0475231833201057,90.44997179614724,-30948.70000000001,-9.55002820385276,5.820766091346741e-11
2016,326283.6,28992.0,78498.9,77942.7,-3878.5,292856.8,8.885521675009104,24.058487769535457,23.888022566871275,-1.188689839146068,89.75529263499607,-33426.79999999999,-10.244707365003938,0.09999999997671694
