fiscal_year,net_disposable_income,pension_entitlement_adjustment,adjusted_disposable_income,household_final_consumption,net_saving,published_saving_rate,calculated_saving_rate,saving_rate_difference,consumption_ratio,saving_consumption_ratio_sum,saving_identity_residual
1994,298383.3,3133.1,301516.39999999997,265281.5,36235.0,12.0,12.017588429684091,0.01758842968409091,87.98244473600774,100.00003316569183,-0.1000000000349246
1995,298151.7,2429.1,300580.8,270495.6,30085.2,10.0,10.009022532377317,0.009022532377317205,89.99097746762268,100.0,1.0913936421275139e-11
1996,302007.5,2312.9,304320.4,277642.2,26678.1,8.8,8.766451411078584,-0.03354858892141621,91.23351572881738,99.99996713989597,0.10000000001309672
1997,309159.5,1172.9,310332.4,278656.4,31676.0,10.2,10.207119849554863,0.007119849554863222,89.79288015044513,99.99999999999999,0.0
1998,306710.8,1482.0,308192.8,277933.6,30259.3,9.8,9.818302049885656,0.01830204988565498,90.18173039733568,100.00003244722134,-0.09999999998763087
1999,307072.1,821.7,307893.8,279561.4,28332.3,9.2,9.201971588905005,0.0019715889050058166,90.7979959323637,99.99996752126872,0.099999999965803
2000,302100.8,345.1,302445.89999999997,281556.0,20889.8,6.9,6.906954268515461,0.006954268515460882,93.09301266772009,99.99996693623555,0.099999999965803
2001,290704.0,1214.7,291918.7,282268.1,9650.6,3.3,3.305920449769063,0.00592044976906303,96.69407955023092,99.99999999999999,3.456079866737127e-11
2002,287849.9,444.7,288294.60000000003,281923.5,6371.1,2.2,2.2099269289123002,0.00992692891230007,97.79007307108769,99.99999999999999,3.456079866737127e-11
2003,286259.7,617.5,286877.2,281398.1,5479.1,1.9,1.9099112791117594,0.009911279111759486,98.09008872088822,99.99999999999997,3.456079866737127e-11
2004,288524.3,-1006.1,287518.2,282794.6,4723.6,1.6,1.6428873024385935,0.0428873024385934,98.3571126975614,100.0,3.456079866737127e-11
2005,290316.4,358.2,290674.60000000003,285823.9,4850.8,1.7,1.66880766327708,-0.031192336722919878,98.33122673945367,100.00003440273075,-0.09999999998854037
2006,295821.8,201.1,296022.89999999997,287743.4,8279.5,2.8,2.796911995659795,-0.0030880043402046198,97.20308800434022,100.00000000000001,-5.820766091346741e-11
2007,297061.2,117.9,297179.10000000003,289604.5,7574.6,2.5,2.5488333466249813,0.04883334662498129,97.45116665337501,100.0,3.456079866737127e-11
2008,294658.4,241.2,294899.60000000003,284905.0,9994.7,3.4,3.3891873708882616,-0.010812629111738303,96.61084653895765,100.00003390984591,-0.099999999965803
2009,291950.2,-549.7,291400.5,277851.7,13548.8,4.6,4.649545899886926,0.04954589988692604,95.35045410011308,100.00000000000001,-1.0913936421275139e-11
2010,289511.3,-478.6,289032.7,279005.3,10027.4,3.5,3.4692960346701254,-0.030703965329874627,96.53070396532986,99.99999999999999,2.3646862246096134e-11
2011,288744.4,-772.7,287971.7,278913.6,9058.1,3.1,3.145482698473496,0.04548269847349573,96.85451730152649,99.99999999999999,3.456079866737127e-11
2012,287184.4,-1206.7,285977.7,281873.2,4104.6,1.4,1.435286737392461,0.03528673739246102,98.56474823036902,100.00003496776148,-0.1000000000003638
2013,288326.8,-972.5,287354.3,291093.1,-3738.8,-1.3,-1.3011115546208984,-0.0011115546208984028,101.30111155462089,99.99999999999999,1.1823431123048067e-11
2014,288545.0,-456.0,288089.0,291381.7,-3292.7,-1.1,-1.142945409231175,-0.04294540923117496,101.14294540923119,100.00000000000001,-1.1823431123048067e-11
2015,293120.5,-814.9,292305.6,293280.4,-974.7,-0.3,-0.3334523868170846,-0.03345238681708462,100.33348659758829,100.0000342107712,-0.10000000004652065
2016,292856.8,-590.4,292266.39999999997,291069.9,1196.6,0.4,0.40942099399725734,0.009420993997257321,99.59061322136245,100.0000342153597,-0.10000000005811671
2017,295205.4,-269.0,294936.4,295232.1,-295.8,-0.1,-0.10029280889032348,-0.00029280889032347324,100.1002589032754,99.99996609438507,0.1000000000465775
2018,298684.0,-204.6,298479.4,297176.1,1303.4,0.4,0.43668005229171597,0.03668005229171595,99.56335345085789,100.00003350314961,-0.09999999995352482
2019,304380.3,-587.5,303792.8,295164.5,8628.3,2.8,2.840192394289792,0.040192394289792155,97.15980760571021,100.0,-1.0913936421275139e-11
2020,315496.6,-805.8,314690.8,281264.2,33426.7,10.6,10.622077289834975,0.022077289834975034,89.3779544873889,100.00003177722388,-0.10000000002037268
2021,310848.2,-1279.2,309569.0,294515.2,15053.7,4.9,4.862793109129145,-0.0372068908708556,95.13717458789479,99.99996769702393,0.09999999998763087
2022,316331.1,-794.7,315536.39999999997,312806.2,2730.2,0.9,0.8652567500928579,-0.03474324990714217,99.13474324990716,100.00000000000001,-4.638422979041934e-11
2023,319059.1,-1123.2,317935.89999999997,319398.4,-1462.5,-0.5,-0.4599983833219213,0.04000161667807872,100.45999838332193,100.00000000000001,-5.820766091346741e-11
2024,332512.4,-866.2,331646.2,329004.1,2642.2,0.8,0.796692378806089,-0.0033076211939110367,99.20333777380834,100.00003015261443,-0.0999999999648935
