fiscal_year,sector,sector_name,capital_net_lending,financial_net_lending,capital_net_lending_ratio,financial_net_lending_ratio,capital_financial_difference
1994,nonfinancial_corporations,非金融法人企業,3888.6,-3200.1,0.7,-0.6,7088.7
1994,financial_corporations,金融機関,13482.1,-2909.1,2.6,-0.6,16391.2
1994,general_government,一般政府,-20678.2,-20672.0,-4.0,-4.0,-6.200000000000728
1994,households,家計,20166.3,38734.0,3.9,7.4,-18567.7
1994,npish,対家計民間非営利団体,-966.5,286.0,-0.2,0.1,-1252.5
1994,rest_of_world,海外部門,-12238.8,-12238.8,-2.3,-2.3,0.0
1995,nonfinancial_corporations,非金融法人企業,-7793.5,-8085.9,-1.5,-1.5,292.39999999999964
1995,financial_corporations,金融機関,13952.2,1691.9,2.6,0.3,12260.300000000001
1995,general_government,一般政府,-24459.5,-21855.2,-4.6,-4.1,-2604.2999999999993
1995,households,家計,27015.3,36894.8,5.1,6.9,-9879.500000000004
1995,npish,対家計民間非営利団体,-593.5,742.6,-0.1,0.1,-1336.1
1995,rest_of_world,海外部門,-9388.2,-9388.2,-1.8,-1.8,0.0
1996,nonfinancial_corporations,非金融法人企業,5687.5,-1019.7,1.0,-0.2,6707.2
1996,financial_corporations,金融機関,14046.1,2808.3,2.6,0.5,11237.8
1996,general_government,一般政府,-24011.7,-22870.8,-4.4,-4.2,-1140.9000000000015
1996,households,家計,12509.5,27601.3,2.3,5.0,-15091.8
1996,npish,対家計民間非営利団体,-460.7,437.1,-0.1,0.1,-897.8
1996,rest_of_world,海外部門,-6956.2,-6956.2,-1.3,-1.3,0.0
1997,nonfinancial_corporations,非金融法人企業,-10565.2,-6547.1,-1.9,-1.2,-4018.1000000000004
1997,financial_corporations,金融機関,14696.2,3693.3,2.7,0.7,11002.900000000001
1997,general_government,一般政府,-19771.8,-17369.3,-3.6,-3.1,-2402.5
1997,households,家計,25849.7,31085.3,4.7,5.6,-5235.5999999999985
1997,npish,対家計民間非営利団体,-880.0,1388.8,-0.2,0.3,-2268.8
1997,rest_of_world,海外部門,-12251.0,-12251.0,-2.2,-2.2,0.0
1998,nonfinancial_corporations,非金融法人企業,23287.6,35893.3,4.3,6.6,-12605.700000000004
1998,financial_corporations,金融機関,11817.8,3665.3,2.2,0.7,8152.499999999999
1998,general_government,一般政府,-56679.5,-57597.3,-10.5,-10.6,917.8000000000029
1998,households,家計,33465.6,34264.7,6.2,6.3,-799.0999999999985
1998,npish,対家計民間非営利団体,-2657.1,-3985.2,-0.5,-0.7,1328.1
1998,rest_of_world,海外部門,-12240.8,-12240.8,-2.3,-2.3,0.0
1999,nonfinancial_corporations,非金融法人企業,6293.4,31480.0,1.2,5.9,-25186.6
1999,financial_corporations,金融機関,15922.9,-5975.5,3.0,-1.1,21898.4
1999,general_government,一般政府,-39294.8,-38429.6,-7.3,-7.2,-865.2000000000044
1999,households,家計,29739.4,20387.8,5.5,3.8,9351.600000000002
1999,npish,対家計民間非営利団体,-2568.1,4575.6,-0.5,0.9,-7143.700000000001
1999,rest_of_world,海外部門,-12038.3,-12038.3,-2.2,-2.2,0.0
2000,nonfinancial_corporations,非金融法人企業,13667.8,8598.7,2.5,1.6,5069.0999999999985
2000,financial_corporations,金融機関,15201.0,17797.2,2.8,3.3,-2596.2000000000007
2000,general_government,一般政府,-34612.0,-31839.6,-6.3,-5.8,-2772.4000000000015
2000,households,家計,23932.6,15549.9,4.4,2.8,8382.699999999999
2000,npish,対家計民間非営利団体,-2446.5,2822.4,-0.4,0.5,-5268.9
2000,rest_of_world,海外部門,-12928.6,-12928.6,-2.4,-2.4,0.0
2001,nonfinancial_corporations,非金融法人企業,14687.9,19909.4,2.7,3.7,-5221.500000000002
2001,financial_corporations,金融機関,16572.9,13340.6,3.1,2.5,3232.300000000001
2001,general_government,一般政府,-33075.8,-37366.5,-6.2,-7.0,4290.699999999997
2001,households,家計,14205.2,13744.3,2.7,2.6,460.90000000000146
2001,npish,対家計民間非営利団体,-2453.5,1378.5,-0.5,0.3,-3832.0
2001,rest_of_world,海外部門,-11006.3,-11006.3,-2.1,-2.1,0.0
2002,nonfinancial_corporations,非金融法人企業,32606.2,29288.0,6.1,5.5,3318.2000000000007
2002,financial_corporations,金融機関,20078.3,10916.7,3.8,2.1,9161.599999999999
2002,general_government,一般政府,-40590.4,-36680.9,-7.7,-6.9,-3909.5
2002,households,家計,1545.3,10564.5,0.3,2.0,-9019.2
2002,npish,対家計民間非営利団体,-1985.6,-1306.3,-0.4,-0.2,-679.3
2002,rest_of_world,海外部門,-12782.0,-12782.0,-2.4,-2.4,0.0
2003,nonfinancial_corporations,非金融法人企業,30810.2,40335.6,5.8,7.6,-9525.399999999998
2003,financial_corporations,金融機関,16438.3,9423.5,3.1,1.8,7014.799999999999
2003,general_government,一般政府,-36988.8,-38837.0,-6.9,-7.3,1848.199999999997
2003,households,家計,7190.7,4319.3,1.4,0.8,2871.3999999999996
2003,npish,対家計民間非営利団体,-862.5,2029.3,-0.2,0.4,-2891.8
2003,rest_of_world,海外部門,-17270.7,-17270.7,-3.2,-3.2,0.0
2004,nonfinancial_corporations,非金融法人企業,36787.6,29122.3,6.9,5.4,7665.299999999999
2004,financial_corporations,金融機関,12743.9,13252.2,2.4,2.5,-508.3000000000011
2004,general_government,一般政府,-26931.4,-31268.5,-5.0,-5.8,4337.0999999999985
2004,households,家計,-1068.8,5115.0,-0.2,1.0,-6183.8
