fiscal_year,capital_financial_corporations,capital_general_government,capital_households,capital_nonfinancial_corporations,capital_npish,capital_rest_of_world,financial_financial_corporations,financial_general_government,financial_households,financial_nonfinancial_corporations,financial_npish,financial_rest_of_world,statistical_discrepancy
1994,2.6,-4.0,3.9,0.7,-0.2,-2.3,-0.6,-4.0,7.4,-0.6,0.1,-2.3,-0.7
1995,2.6,-4.6,5.1,-1.5,-0.1,-1.8,0.3,-4.1,6.9,-1.5,0.1,-1.8,0.2
1996,2.6,-4.4,2.3,1.0,-0.1,-1.3,0.5,-4.2,5.0,-0.2,0.1,-1.3,-0.1
1997,2.7,-3.6,4.7,-1.9,-0.2,-2.2,0.7,-3.1,5.6,-1.2,0.3,-2.2,0.5
1998,2.2,-10.5,6.2,4.3,-0.5,-2.3,0.7,-10.6,6.3,6.6,-0.7,-2.3,0.6
1999,3.0,-7.3,5.5,1.2,-0.5,-2.2,-1.1,-7.2,3.8,5.9,0.9,-2.2,0.4
2000,2.8,-6.3,4.4,2.5,-0.4,-2.4,3.3,-5.8,2.8,1.6,0.5,-2.4,-0.5
2001,3.1,-6.2,2.7,2.7,-0.5,-2.1,2.5,-7.0,2.6,3.7,0.3,-2.1,0.2
2002,3.8,-7.7,0.3,6.1,-0.4,-2.4,2.1,-6.9,2.0,5.5,-0.2,-2.4,0.2
2003,3.1,-6.9,1.4,5.8,-0.2,-3.2,1.8,-7.3,0.8,7.6,0.4,-3.2,0.1
2004,2.4,-5.0,-0.2,6.9,-0.1,-3.5,2.5,-5.8,1.0,5.4,0.5,-3.5,-0.4
2005,1.2,-4.0,0.2,5.5,-0.2,-3.5,4.3,-3.9,1.7,1.5,0.0,-3.5,0.7
2006,2.7,-3.0,1.9,2.4,-0.1,-3.9,3.1,-2.4,3.7,-0.8,0.4,-3.9,0.0
2007,2.4,-2.9,2.2,2.9,0.0,-4.4,0.7,-2.0,3.3,2.7,-0.2,-4.4,-0.1
2008,2.1,-5.3,3.1,1.4,-0.1,-2.0,2.2,-5.2,2.8,1.9,0.2,-2.0,0.8
2009,1.8,-10.1,5.6,6.3,-0.2,-3.2,3.3,-9.2,2.8,6.2,0.1,-3.2,-0.2
2010,1.1,-8.9,3.9,7.9,0.0,-3.5,1.0,-7.9,4.0,6.2,0.2,-3.5,-0.6
2011,1.3,-8.9,3.3,6.0,-0.2,-1.7,0.7,-8.2,4.3,5.0,-0.2,-1.7,0.2
2012,1.0,-8.2,1.4,6.4,-0.1,-0.8,1.0,-7.2,3.1,4.0,0.0,-0.8,0.1
2013,0.9,-7.3,-0.8,7.4,0.0,-0.3,0.4,-6.2,1.0,5.2,0.0,-0.3,0.1
2014,0.7,-5.1,-0.1,5.7,0.2,-1.6,-1.1,-4.5,3.6,3.1,0.4,-1.6,0.2
2015,-0.1,-3.5,0.4,6.6,0.1,-3.2,-0.4,-2.6,2.1,4.4,-0.2,-3.2,-0.3
2016,-0.2,-3.4,0.8,6.4,0.1,-3.9,1.1,-2.4,3.3,1.4,0.4,-3.9,0.1
2017,0.1,-2.9,0.5,5.8,0.1,-3.9,0.4,-2.2,1.8,3.4,0.4,-3.9,0.3
2018,0.2,-2.4,1.2,4.5,0.4,-3.4,0.0,-1.9,3.7,1.6,-0.2,-3.4,-0.5
2019,0.5,-3.1,2.2,3.3,0.2,-3.2,1.6,-2.2,3.1,0.7,0.0,-3.2,0.1
2020,1.2,-10.0,6.8,4.4,0.4,-3.0,3.4,-9.3,7.3,1.1,0.4,-3.0,0.4
2021,1.3,-6.2,3.3,4.4,0.4,-3.4,1.2,-6.2,5.2,2.6,0.6,-3.4,0.3
2022,0.8,-3.4,1.5,2.5,0.1,-1.5,-0.3,-3.6,2.9,1.9,0.6,-1.5,0.0
2023,1.2,-1.9,0.8,4.1,-0.2,-4.2,1.0,-2.4,1.9,3.2,0.5,-4.2,0.2
2024,0.8,-1.4,2.0,2.2,0.0,-4.6,0.6,-0.9,0.9,3.7,0.2,-4.6,1.0
