component,contribution_pt,start_year,end_year,actual_change_pt,calculated_change_pt,decomposition_residual
net_saving,-2.865531832058939,2015,2019,-3.3048146632515087,-3.304832188079809,-1.752482830008617e-05
net_capital_transfers,-0.011971551263078473,2015,2019,-3.3048146632515087,-3.304832188079809,-1.752482830008617e-05
net_capital_formation,-0.42732880475779145,2015,2019,-3.3048146632515087,-3.304832188079809,-1.752482830008617e-05
net_saving,-0.9216432446431098,2019,2020,1.0851457968054263,1.085163321633726,1.752482829964208e-05
net_capital_transfers,0.3653583585830076,2019,2020,1.0851457968054263,1.085163321633726,1.752482829964208e-05
net_capital_formation,1.6414482076938282,2019,2020,1.0851457968054263,1.085163321633726,1.752482829964208e-05
net_saving,-0.2538961028942137,2020,2024,-2.2374131915426285,-2.237397625273675,1.556626895338198e-05
net_capital_transfers,-0.24157947427386883,2020,2024,-2.2374131915426285,-2.237397625273675,1.556626895338198e-05
net_capital_formation,-1.7419220481055924,2020,2024,-2.2374131915426285,-2.237397625273675,1.556626895338198e-05
net_saving,-4.041071179596262,2015,2024,-4.4570820579887105,-4.4570664917197576,1.556626895293789e-05
net_capital_transfers,0.11180733304606028,2015,2024,-4.4570820579887105,-4.4570664917197576,1.556626895293789e-05
net_capital_formation,-0.5278026451695557,2015,2024,-4.4570820579887105,-4.4570664917197576,1.556626895293789e-05
