year,cpi,gross_salary_yen,actual_income_tax_yen,actual_resident_tax_yen,actual_pension_yen,actual_health_insurance_yen,actual_employment_insurance_yen,actual_total_deductions_yen,actual_nominal_take_home_yen,actual_real_take_home_yen,actual_effective_burden_rate,fixed_1990_gross_salary_yen,fixed_1990_income_tax_yen,fixed_1990_resident_tax_yen,fixed_1990_pension_yen,fixed_1990_health_insurance_yen,fixed_1990_employment_insurance_yen,fixed_1990_total_deductions_yen,fixed_1990_nominal_take_home_yen,fixed_1990_effective_burden_rate,fixed_1990_real_take_home_yen,income_tax_yen_difference_yen,resident_tax_yen_difference_yen,pension_yen_difference_yen,health_insurance_yen_difference_yen,employment_insurance_yen_difference_yen,total_deductions_yen_difference_yen,nominal_take_home_yen_difference_yen,real_take_home_difference_yen,burden_rate_difference_pt,fixed_policy_year
1990,89.71666666666665,3939398.0,195500.0,122200.0,205920.0,123798.6,21666.689,669085.289,3270312.711,3645156.281998886,0.1698445521371539,3939397.9999999995,195500.0,122200.0,205920.0,123798.6,21666.689,669085.289,3270312.7109999997,0.16984455213715396,3645156.2819988853,0.0,0.0,0.0,0.0,0.0,0.0,4.656612873077393e-10,4.656612873077393e-10,-5.551115123125783e-15,1990
1991,92.675,4133949.0,207900.0,134600.0,226200.0,134055.6,22736.7195,725492.3195,3408456.6805,3677859.9196115457,0.1754961949216112,4133948.9999999995,208200.0,134900.0,223080.0,134055.6,22736.7195,722972.3195,3410976.6805,0.17488660830116676,3680579.099541408,-300.0,-300.0,3120.0,0.0,0.0,2520.0,-2520.0,-2719.1799298622645,0.06095866204444411,1990
1992,94.16666666666669,4219054.0,215200.0,141900.0,226200.0,131727.6,19788.19975,734815.7997499999,3484238.20025,3700075.9648672566,0.1741660096670959,4219054.0,214900.0,141600.0,223080.0,134067.6,23204.797,736852.397,3482201.603,0.17464872386084654,3697913.206725663,300.0,300.0,3120.0,-2340.0,-3416.597249999999,-2036.597250000108,2036.597250000108,2162.758141593542,-0.04827141937506496,1990
1993,95.25,4227560.0,213500.0,112700.0,243600.0,140680.2,17316.991375,727797.1913749999,3499762.808625,3674291.6625984255,0.1721553783683732,4227560.0,212900.0,139600.0,240240.0,144040.2,23251.58,760031.78,3467528.2199999997,0.17978024676172544,3640449.5748031493,600.0,-26900.0,3360.0,-3360.0,-5934.588625,-32234.58862500009,32234.588625000324,33842.087795276195,-0.7624868393352247,1990
1994,95.725,4296449.0,174800.0,105900.0,249200.0,140671.2,17185.796,687756.996,3608692.004,3769853.229563854,0.1600756801721607,4296449.0,218400.0,145100.0,240240.0,144031.2,23630.4695,771401.6695000001,3525047.3305,0.17954400703930154,3682473.0535387835,-43600.0,-39200.0,8960.0,-3360.0,-6444.673500000001,-83644.67350000003,83644.67350000003,87380.17602507072,-1.946832686714084,1990
1995,95.46666666666664,4346778.0,179900.0,102600.0,282036.0,140661.6,17387.112,722584.712,3624193.288,3796291.851955307,0.1662345562621325,4346778.0,222400.0,149100.0,240240.0,144021.6,23907.279,779668.879,3567109.1210000003,0.17936708039840082,3736496.984287711,-42500.0,-46500.0,41796.0,-3360.0,-6520.166999999998,-57084.1669999999,57084.1669999999,59794.86766759632,-1.3132524136268335,1990
1996,95.425,4385311.0,182200.0,122900.0,285598.0,140656.8,17541.244,748896.044,3636414.956,3810757.0930049783,0.1707737590332818,4385311.0,225400.0,152100.0,240240.0,144016.8,24119.2105,785876.0105,3599434.9895,0.1792064486418409,3772004.1807702384,-43200.0,-29200.0,45358.0,-3360.0,-6577.966500000002,-36979.96649999998,36979.96649999963,38752.912234739866,-0.8432689608559113,1990
1997,97.03333333333336,4455681.0,218700.0,110200.0,296440.0,142416.0,17822.724,785578.7239999999,3670102.276,3782310.8306423905,0.176309462908139,4455681.0,231000.0,157700.0,240240.0,144096.0,24506.2455,797542.2455,3658138.7545,0.17899446695129206,3769981.5401923726,-12300.0,-47500.0,56200.0,-1680.0,-6683.521500000003,-11963.521500000032,11963.521500000264,12329.2904500179,-0.26850040431530553,1990
1998,97.625,4396230.0,175700.0,104300.0,296189.0,145625.4,17584.92,739399.3200000001,3656830.68,3745793.2701664534,0.168189407742543,4396230.0,226300.0,153000.0,240240.0,143945.4,24179.265,787664.665,3608565.335,0.17916821117184498,3696353.736235596,-50600.0,-48700.0,55949.0,1680.0,-6594.345000000001,-48265.34499999997,48265.345000000205,49439.533930857666,-1.0978803429301964,1990
1999,97.26666666666668,4242771.0,161200.0,94100.0,295816.0,145401.6,16971.084,713488.684,3529282.316,3628460.228923921,0.1681657303681956,4242771.0,214100.0,140800.0,240240.0,143721.6,23335.2405,762196.8404999999,3480574.1595,0.17964600033798664,3578383.3031185744,-52900.0,-46700.0,55576.0,1680.0,-6364.156500000001,-48708.156499999925,48708.15650000004,50076.925805346575,-1.148026996979104,1990
2000,96.4,4263666.0,162500.0,95400.0,295767.0,145372.2,17054.664,716093.8640000001,3547572.136,3680054.082987552,0.1679526173016367,4263666.0,215800.0,142500.0,240240.0,143692.2,23450.163,765682.363,3497983.637,0.17958310125605523,3628613.7313278005,-53300.0,-47100.0,55527.0,1680.0,-6395.499,-49588.49899999995,49588.498999999836,51440.3516597515,-1.1630483954418542,1990
2001,95.475,4214732.0,158900.0,91600.0,295640.0,145296.0,23597.0875,715033.0875,3499698.9125,3665565.763288819,0.1696509024773105,4214732.0,211900.0,138600.0,240240.0,143616.0,23181.026,757537.0260000001,3457194.974,0.17973551485598613,3621047.3673736583,-53000.0,-47000.0,55400.0,1680.0,416.0614999999998,-42503.93850000005,42503.938500000164,44518.39591516089,-1.008461237867564,1990
2002,94.5,4118610.0,152600.0,86700.0,295340.0,145116.0,25934.34575,705690.34575,3412919.65425,3611555.189682539,0.1713418715901724,4118610.0,204300.0,131000.0,240240.0,143436.0,22652.355,741628.355,3376981.645,0.18006763325490882,3573525.55026455,-51700.0,-44300.0,55100.0,1680.0,3281.990750000001,-35938.00925,35938.00925000012,38029.63941798918,-0.8725761664736431,1990
2003,94.18333333333334,4101479.0,149300.0,85400.0,295310.4,170016.0,28710.353,728736.753,3372742.247,3581039.3703769245,0.1776765778881228,4101479.0,202900.0,129600.0,240240.0,143389.2,22558.1345,738687.3345,3362791.6655,0.1801026738159576,3570474.2511059986,-53600.0,-44200.0,55070.40000000002,26626.79999999999,6152.218499999999,-9950.581499999971,9950.581499999855,10565.119270925876,-0.24260959278347982,1990
