year,timing,resident_tax_income_year,monthly_total_cash_earnings_yen,monthly_regular_earnings_yen,monthly_special_earnings_yen,annual_regular_pay_yen,annual_bonus_yen,gross_salary_yen,pension_yen,health_insurance_yen,long_term_care_yen,employment_insurance_yen,social_insurance_yen,salary_income_deduction_yen,salary_income_yen,basic_deduction_yen,other_income_deductions_yen,taxable_income_yen,base_income_tax_yen,income_tax_yen,after_income_tax_and_social_insurance_yen,resident_tax_assessment_year,resident_basic_deduction_yen,resident_taxable_income_yen,base_resident_income_levy_yen,resident_adjustment_credit_yen,resident_other_reduction_yen,resident_income_levy_yen,resident_per_capita_yen,forest_environment_tax_yen,resident_tax_yen,total_deductions_yen,nominal_take_home_yen,effective_burden_rate,take_home_rate,cpi,real_gross_salary_yen,real_take_home_yen,gross_salary_index,nominal_take_home_index,real_gross_salary_index,real_take_home_index,income_tax_rate,resident_tax_rate,pension_rate_effective,health_insurance_rate_effective,employment_insurance_rate_effective,component_burden_rate_sum,component_burden_rate_error
1990,income_year,1990,328283.1666666667,249431.16666666666,78852.0,2993174.0,946224.0,3939398.0,205920.0,123798.6,0.0,21666.689,351385.289,1282879.6,2656518.4,350000.0,0.0,1955000.0,195500.0,195500.0,3392512.711,1991,310000.0,1995000.0,119500.0,0.0,0.0,119500.0,2700.0,0.0,122200.0,669085.289,3270312.711,0.16984455213715394,0.8301554478628461,89.71666666666665,4390932.193943898,3645156.281998886,100.0,100.0,100.0,100.0,0.04962687192307048,0.03101996802557142,0.05227194611968631,0.031425766068825745,0.0055,0.16984455213715396,-2.7755575615628914e-17
1991,income_year,1991,344495.75,260722.91666666666,83772.83333333333,3128675.0,1005274.0,4133949.0,226200.0,134055.6,0.0,22736.7195,382992.3195,1321789.8,2812159.2,350000.0,0.0,2079000.0,207900.0,207900.0,3543056.6805,1992,310000.0,2119000.0,131900.0,0.0,0.0,131900.0,2700.0,0.0,134600.0,725492.3195,3408456.6805,0.17549619492161128,0.8245038050783887,92.675,4460694.901537632,3677859.9196115457,104.93859721713825,104.2241822635291,101.58879036414983,100.89718067162615,0.05029089618667284,0.032559666314219166,0.05471765616847232,0.03242797625224694,0.0055,0.17549619492161128,0.0
1992,income_year,1992,351587.8333333333,267485.5833333333,84102.25,3209827.0,1009227.0,4219054.0,226200.0,131727.6,0.0,19788.19975,377715.7997499999,1338810.8,2880243.2,350000.0,0.0,2152000.0,215200.0,215200.0,3626138.20025,1993,310000.0,2192000.0,139200.0,0.0,0.0,139200.0,2700.0,0.0,141900.0,734815.7997499999,3484238.20025,0.17416600966709597,0.825833990332904,94.16666666666667,4480411.327433628,3700075.9648672566,107.098952682618,106.54143833188922,102.03781633460753,101.5066482372672,0.05100669486572108,0.033633131976978724,0.05361391439882021,0.031222070160751677,0.004690198264824295,0.174166009667096,-2.7755575615628914e-17
1993,income_year,1993,352296.6666666667,271167.5833333333,81129.08333333333,3254011.0,973549.0,4227560.0,243600.0,140680.2,0.0,17316.991375,401597.191375,1340512.0,2887048.0,350000.0,0.0,2135000.0,213500.0,213500.0,3612462.808625,1994,310000.0,2175000.0,137500.0,0.0,27500.0,110000.0,2700.0,0.0,112700.0,727797.1913749999,3499762.808625,0.17215537836837322,0.8278446216316268,95.25,4438383.202099738,3674291.6625984255,107.31487399851449,107.0161516008308,101.08065909606358,100.79929030048508,0.05050194438399455,0.026658403428928272,0.05762189064141018,0.03327692569709242,0.004096214216947838,0.17215537836837327,-5.551115123125783e-17
1994,income_year,1994,358037.4166666667,277159.5,80877.91666666667,3325914.0,970535.0,4296449.0,249200.0,140671.2,0.0,17185.796,407056.996,1354289.8,2942159.2,350000.0,0.0,2185000.0,218500.0,174800.0,3714592.004,1995,330000.0,2205000.0,120500.0,0.0,18075.0,102400.0,3500.0,0.0,105900.0,687756.996,3608692.0039999997,0.16007568017216078,0.8399243198278391,95.72500000000001,4488324.889004962,3769853.229563854,109.06359296521957,110.3470011250554,102.21804142626914,103.42089441214819,0.04068476083388864,0.02464826185531354,0.058001386726573505,0.0327412707563851,0.003999999999999999,0.1600756801721608,-2.7755575615628914e-17
1995,income_year,1995,362231.5,281616.4166666667,80615.08333333333,3379397.0,967381.0,4346778.0,282036.0,140661.6,0.0,17387.112,440084.712,1409355.6,2937422.4,380000.0,0.0,2117000.0,211700.0,179900.0,3726793.288,1996,330000.0,2167000.0,116700.0,0.0,17505.0,99100.0,3500.0,0.0,102600.0,722584.712,3624193.2879999997,0.16623455626213257,0.8337654437378674,95.46666666666665,4553189.245810056,3796291.851955307,110.3411739560207,110.82100117856282,103.6952757341584,104.1462027486389,0.04138697674461406,0.02360368990548862,0.06488392091797648,0.03235996869405339,0.004,0.16623455626213254,2.7755575615628914e-17
1996,income_year,1996,365442.5833333333,284968.9166666667,80473.66666666667,3419627.0,965684.0,4385311.0,285598.0,140656.8,0.0,17541.244,443796.044,1417062.2000000002,2968248.8,380000.0,0.0,2144000.0,214400.0,182200.0,3759314.9560000002,1997,330000.0,2194000.0,119400.0,0.0,0.0,119400.0,3500.0,0.0,122900.0,748896.044,3636414.9560000002,0.1707737590332818,0.8292262409667183,95.425,4595557.767880535,3810757.0930049783,111.31931833239494,111.1947167550241,104.6601852385437,104.54303734037111,0.04154779444376921,0.028025378359710407,0.06512605377360922,0.032074532456192954,0.004,0.1707737590332818,0.0
1997,income_year,1997,371306.75,288636.9166666667,82669.83333333333,3463643.0,992038.0,4455681.0,296440.0,142416.0,0.0,17822.724,456678.724,1431136.2000000002,3024544.8,380000.0,0.0,2187000.0,218700.0,218700.0,3780302.276,1998,330000.0,2237000.0,123700.0,0.0,17000.0,106700.0,3500.0,0.0,110200.0,785578.7239999999,3670102.276,0.17630946290813906,0.8236905370918609,97.03333333333335,4591907.59189282,3782310.8306423905,113.10563187573331,112.22481151894956,104.57705537393889,103.76265207944098,0.04908340610559867,0.024732470749140256,0.06653079518035515,0.031962790873044995,0.003999999999999999,0.17630946290813906,0.0
1998,income_year,1998,366352.5,287854.4166666667,78498.08333333333,3454253.0,941977.0,4396230.0,296189.0,145625.4,0.0,17584.92,459399.32,1419246.0,2976984.0,380000.0,0.0,2137000.0,213700.0,175700.0,3761130.68,1999,330000.0,2187000.0,118700.0,0.0,17805.0,100800.0,3500.0,0.0,104300.0,739399.3200000001,3656830.6799999997,0.16818940774254307,0.8318105922574569,97.625,4503180.537772087,3745793.2701664534,111.59649266207678,111.81899112277279,102.55636705078264,102.76084152179017,0.03996606183025001,0.02372487335739941,0.0673734085796239,0.033125063975269715,0.003999999999999999,0.16818940774254304,2.7755575615628914e-17
1999,income_year,1999,353564.25,281282.75,72281.5,3375393.0,867378.0,4242771.0,295816.0,145401.6,0.0,16971.084,458188.684,1388554.2000000002,2854216.8,380000.0,0.0,2016000.0,201600.0,161200.0,3623382.316,2000,330000.0,2066000.0,106600.0,0.0,15990.0,90600.0,3500.0,0.0,94100.0,713488.684,3529282.316,0.16816573036819568,0.8318342696318043,97.26666666666667,4361998.97189856,3628460.2289239205,107.70099898512413,107.91880250866932,99.34106880344808,99.54196605623149,0.037994037387358404,0.02217890147735996,0.06972235833609686,0.034270433167380474,0.004,0.1681657303681957,-2.7755575615628914e-17
