年,年齢,年齢区分,年収（万円）,年収（円）,月例賃金（円）,年間賞与相当額（円）,所得税（円）,住民税（円）,厚生年金（円）,健康保険（円）,介護保険（円）,雇用保険（円）,社会保険料総額（円）,控除総額（円）,名目手取り（円）,実効負担率（%）,手取り率（%）,手取り（100円あたり）,所得税（100円あたり）,住民税（100円あたり）,厚生年金（100円あたり）,健康保険（100円あたり）,介護保険（100円あたり）,雇用保険（100円あたり）,性別,扶養人数,給与所得のみ
1990,35,20～39歳,200,2000000.0,126634.15408479498,480390.1509824601,70000.0,39700.0,108108.0,64944.6,0.0,11000.0,184052.6,293752.6,1706247.4,14.687629999999999,85.31236999999999,85.31236999999999,3.5000000000000004,1.9849999999999999,5.4054,3.24723,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,250,2500000.0,158292.69260599374,600487.6887280752,100100.0,54700.0,137280.0,82441.2,0.0,13750.0,233471.2,388271.2,2111728.8,15.530848,84.469152,84.469152,4.004,2.188,5.4912,3.2976479999999997,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,300,3000000.0,189951.23112719247,720585.2264736904,130700.0,70000.0,163020.0,97921.2,0.0,16500.0,277441.2,478141.2,2521858.8,15.93804,84.06195999999998,84.06195999999998,4.3566666666666665,2.3333333333333335,5.434,3.26404,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,350,3500000.0,221609.76964839123,840682.7642193055,163300.0,90000.0,188760.0,113401.8,0.0,19250.0,321411.8,574711.8,2925288.2,16.420337142857143,83.57966285714286,83.57966285714286,4.6657142857142855,2.571428571428571,5.393142857142857,3.2400514285714284,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,400,4000000.0,253268.30816958996,960780.3019649202,197500.0,124200.0,223080.0,133921.8,0.0,22000.0,379001.8,700701.8,3299298.2,17.517545000000002,82.48245500000002,82.48245500000002,4.9375,3.105,5.577,3.3480449999999995,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,450,4500000.0,284926.8466907887,1080877.8397105357,234500.0,161200.0,240240.0,144362.4,0.0,24750.0,409352.4,805052.4,3694947.6,17.890053333333334,82.10994666666667,82.10994666666667,5.21111111111111,3.582222222222222,5.338666666666667,3.2080533333333334,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,500,5000000.0,316585.3852119875,1200975.3774561505,268800.0,195500.0,274560.0,164882.4,0.0,27500.0,466942.4,931242.4,4068757.6,18.624848,81.375152,81.375152,5.376,3.91,5.4912,3.2976479999999997,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,550,5500000.0,348243.9237331862,1321072.9152017653,311400.0,232400.0,291720.0,175323.0,0.0,30250.0,497293.0,1041093.0,4458907.0,18.928963636363637,81.07103636363637,81.07103636363637,5.661818181818182,4.225454545454546,5.303999999999999,3.1876909090909087,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,600,6000000.0,379902.46225438494,1441170.4529473807,380000.0,266700.0,326040.0,195843.0,0.0,33000.0,554883.0,1201583.0,4798417.0,20.026383333333335,79.97361666666667,79.97361666666667,6.333333333333334,4.445,5.434,3.26405,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,650,6500000.0,411561.00077558367,1561267.9906929955,461200.0,307300.0,351780.0,211323.6,0.0,35750.0,598853.6,1367353.6,5132646.4,21.03620923076923,78.96379076923078,78.96379076923078,7.095384615384616,4.727692307692307,5.412,3.251132307692308,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,700,7000000.0,443219.53929678246,1681365.528438611,542400.0,347900.0,377520.0,226803.6,0.0,38500.0,642823.6,1533123.6,5466876.4,21.901765714285716,78.0982342857143,78.0982342857143,7.748571428571428,4.97,5.393142857142857,3.2400514285714284,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,750,7500000.0,474878.0778179812,1801463.0661842257,623600.0,388500.0,403260.0,242284.2,0.0,41250.0,686794.2,1698894.2,5801105.8,22.651922666666664,77.34807733333334,77.34807733333334,8.314666666666666,5.18,5.3768,3.230456,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,800,8000000.0,506536.6163391799,1921560.6039298405,704800.0,429100.0,429000.0,257764.2,0.0,44000.0,730764.2,1864664.2,6135335.8,23.3083025,76.6916975,76.6916975,8.81,5.36375,5.3625,3.2220525,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,850,8500000.0,538195.1548603787,2041658.141675456,786000.0,469700.0,454740.0,273244.8,0.0,46750.0,774734.8,2030434.8,6469565.2,23.88746823529412,76.11253176470588,76.11253176470588,9.247058823529413,5.525882352941176,5.349882352941177,3.2146447058823533,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,900,9000000.0,569853.6933815774,2161755.6794210714,872400.0,533000.0,454740.0,288724.8,0.0,49500.0,792964.8,2198364.8,6801635.2,24.426275555555556,75.57372444444445,75.57372444444445,9.693333333333333,5.9222222222222225,5.052666666666666,3.2080533333333334,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,950,9500000.0,601512.2319027762,2281853.2171666855,987900.0,597600.0,454740.0,304205.4,0.0,52250.0,811195.4,2396695.4,7103304.6,25.22837263157895,74.77162736842105,74.77162736842105,10.398947368421052,6.290526315789474,4.786736842105263,3.202162105263158,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,1000,10000000.0,633170.770423975,2401950.754912301,1117500.0,662400.0,454740.0,319685.4,0.0,55000.0,829425.4,2609325.4,7390674.6,26.093253999999998,73.906746,73.906746,11.175,6.624,4.5474,3.1968540000000005,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,1050,10500000.0,664829.3089451736,2522048.2926579164,1254600.0,731000.0,454740.0,335166.0,0.0,57750.0,847656.0,2833256.0,7666744.0,26.98339047619048,73.01660952380954,73.01660952380954,11.948571428571428,6.961904761904762,4.330857142857143,3.192057142857143,0.0,0.5499999999999999,男性,0,True
1990,35,20～39歳,1100,11000000.0,696487.8474663724,2642145.8304035305,1386900.0,797100.0,454740.0,365766.0,0.0,60500.0,881006.0,3065006.0,7934994.0,27.86369090909091,72.1363090909091,72.1363090909091,12.60818181818182,7.246363636363637,4.134,3.325145454545454,0.0,0.5499999999999999,男性,0,True
