fiscal_year,capital_transfers_paid,capital_transfers_received,changes_in_inventories,consumption_fixed_capital,gross_fixed_capital_formation,net_land_purchases,net_lending_capital_account,net_saving,net_fixed_capital_formation,net_capital_formation,net_capital_transfers,calculated_net_lending,net_lending_identity_residual,cumulative_net_saving,cumulative_net_capital_transfers,cumulative_net_fixed_capital_formation,cumulative_changes_in_inventories,cumulative_net_land_purchases,cumulative_net_capital_formation,cumulative_net_lending_capital_account,cumulative_calculated_net_lending,cumulative_net_lending_identity_residual
2015,2212.4,4843.3,1341.6,86975.5,95354.5,-171.4,36505.5,43423.8,8379.0,9549.2,2630.9,36505.5,0.0,43423.8,2630.9,8379.0,1341.6,-171.4,9549.2,36505.5,36505.5,0.0
2016,1745.7,4996.7,419.5,87968.8,95449.0,1123.3,35421.5,41193.6,7480.199999999997,9022.999999999996,3251.0,35421.600000000006,0.10000000000582077,84617.4,5881.9,15859.199999999997,1761.1,951.9,18572.199999999997,71927.0,71927.09999999999,0.09999999999126885
2017,1561.5,4619.7,1787.5,89957.9,99172.9,1492.5,33093.3,42530.1,9215.0,12495.0,3058.2,33093.299999999996,-7.275957614183426e-12,127147.5,8940.099999999999,25074.199999999997,3548.6,2444.4,31067.199999999997,105020.3,105020.40000000001,0.10000000000582077
2018,1263.3,4264.4,2284.9,91983.1,103148.3,3607.7,25583.2,39639.9,11165.199999999997,17057.799999999996,3001.0999999999995,25583.200000000004,3.637978807091713e-12,166787.4,11941.199999999997,36239.399999999994,5833.5,6052.1,48124.99999999999,130603.5,130603.59999999998,0.09999999997671694
2019,1543.5,4195.1,737.2,94130.0,102472.7,3230.8,18882.7,28541.7,8342.699999999997,12310.699999999997,2651.6000000000004,18882.600000000006,-0.09999999999490683,195329.1,14592.799999999997,44582.09999999999,6570.7,9282.900000000001,60435.69999999999,149486.2,149486.2,0.0
2020,911.1,5512.4,-1153.7,95243.2,97442.0,1815.2,24359.5,22618.5,2198.800000000003,2860.300000000003,4601.299999999999,24359.499999999996,-3.637978807091713e-12,217947.6,19194.1,46780.899999999994,5417.0,11098.100000000002,63295.99999999999,173845.7,173845.7,0.0
2021,989.8,6369.5,2262.4,98667.8,103122.1,2801.2,25104.5,29242.7,4454.300000000003,9517.900000000001,5379.7,25104.5,0.0,247190.30000000002,24573.8,51235.2,7679.4,13899.300000000003,72813.9,198950.2,198950.20000000004,2.9103830456733704e-11
2022,748.9,4114.1,2315.7,104033.7,111703.7,4200.9,14810.9,25632.3,7670.0,14186.6,3365.2000000000003,14810.9,0.0,272822.60000000003,27939.0,58905.2,9995.099999999999,18100.200000000004,87000.5,213761.1,213761.10000000003,2.9103830456733704e-11
2023,1227.8,4573.7,-640.9,109423.6,116542.8,4880.0,25530.3,33542.6,7119.199999999997,11358.299999999997,3345.8999999999996,25530.200000000004,-0.09999999999490683,306365.2,31284.9,66024.4,9354.199999999999,22980.200000000004,98358.8,239291.4,239291.30000000005,-0.0999999999476131
2024,750.6,4531.0,72.0,114439.0,121543.7,7328.4,13856.2,24581.0,7104.699999999997,14505.099999999997,3780.4,13856.300000000005,0.10000000000400178,330946.2,35065.3,73129.09999999999,9426.199999999999,30308.600000000006,112863.9,253147.6,253147.6,0.0
