fiscal_year,net_lending_capital_account,net_lending_financial_account,capital_financial_discrepancy,cumulative_capital_net_lending,cumulative_financial_net_lending,cumulative_capital_financial_discrepancy
2015,36505.5,24170.0,12335.5,36505.5,24170.0,12335.5
2016,35421.5,7768.8,27652.7,71927.0,31938.8,39988.2
2017,33093.3,19424.2,13669.1,105020.3,51363.0,53657.3
2018,25583.2,9288.9,16294.3,130603.5,60651.9,69951.6
2019,18882.7,4067.3,14815.4,149486.2,64719.2,84767.0
2020,24359.5,6338.6,18020.9,173845.7,71057.8,102787.9
2021,25104.5,15085.9,10018.6,198950.2,86143.7,112806.5
2022,14810.9,11439.9,3371.0,213761.1,97583.6,116177.5
2023,25530.3,19781.5,5748.8,239291.4,117365.1,121926.3
2024,13856.2,23927.6,-10071.4,253147.6,141292.7,111854.9
