side,component,component_name,cumulative_amount,net_lending_contribution
金融資産,monetary_gold_sdr_assets,貨幣用金・SDR,0.0,0.0
金融資産,cash_deposits_assets,現金・預金,131916.8,131916.8
金融資産,loans_assets,貸出,20423.199999999997,20423.199999999997
金融資産,debt_securities_assets,債務証券,8971.900000000001,8971.900000000001
金融資産,equity_investment_fund_assets,持分・投資信託受益証券,-10021.499999999996,-10021.499999999996
金融資産,insurance_pension_guarantee_assets,保険・年金・定型保証,2322.5,2322.5
金融資産,financial_derivatives_assets,金融派生商品等,0.0,0.0
金融資産,other_financial_assets,その他の金融資産,232336.89999999997,232336.89999999997
負債,monetary_gold_sdr_liabilities,貨幣用金・SDR,0.0,-0.0
負債,cash_deposits_liabilities,現金・預金,0.0,-0.0
負債,loans_liabilities,借入,182125.30000000002,-182125.30000000002
負債,debt_securities_liabilities,債務証券,39707.899999999994,-39707.899999999994
負債,equity_investment_fund_liabilities,持分・投資信託受益証券,6039.199999999999,-6039.199999999999
負債,insurance_pension_guarantee_liabilities,保険・年金・定型保証,-17540.0,17540.0
負債,financial_derivatives_liabilities,金融派生商品等,386.09999999999997,-386.09999999999997
負債,other_liabilities,その他の負債,33938.6,-33938.6
