fiscal_year,accounts_payable_liabilities,cash_deposits_liabilities,debt_securities_liabilities,direct_investment_liabilities,entrusted_funds_liabilities,equity_investment_fund_liabilities,financial_derivatives_liabilities,financial_liabilities_total,fiscal_investment_fund_deposits_liabilities,foreign_portfolio_investment_liabilities,insurance_pension_guarantee_liabilities,loans_liabilities,monetary_gold_sdr_liabilities,net_lending_financial_detail,other_external_liabilities,other_financial_liabilities,other_liabilities_detail,trade_credit_liabilities
2015,-1389.3,0.0,-1129.6,0.0,-467.3,277.2,174.3,-5984.4,0.0,0.0,-1252.9,417.0,0.0,24170.0,-5.4,-4470.4,1541.6,-4150.0
2016,-300.2,0.0,6957.5,0.0,1104.5,971.8,-38.6,25264.1,0.0,0.0,-1057.7,16583.2,0.0,7768.8,-481.1,1847.9,111.8,1412.9
2017,185.5,0.0,-333.7,0.0,603.1,2100.1,45.6,18069.3,0.0,0.0,-1037.0,6885.1,0.0,19424.2,-70.3,10409.2,1687.8,8003.1
2018,296.8,0.0,3062.9,0.0,267.1,2654.2,56.1,30012.7,0.0,0.0,-1020.8,19427.1,0.0,9288.9,250.1,5833.2,-773.1,5792.3
2019,-569.0,0.0,9577.1,0.0,430.4,390.6,16.0,10503.1,0.0,0.0,-1591.3,16532.4,0.0,4067.3,304.1,-14421.7,-491.4,-14095.8
2020,1324.6,0.0,8616.2,0.0,-168.6,4766.5,9.9,60638.7,0.0,0.0,-1726.5,47523.2,0.0,6338.6,695.4,1449.4,575.5,-977.5
2021,766.0,0.0,6104.6,0.0,398.0,-288.1,29.5,28154.1,0.0,0.0,-2296.9,10655.7,0.0,15085.9,87.6,13949.3,1829.4,10868.3
2022,-483.4,0.0,2043.5,0.0,1543.5,-275.0,42.5,29085.9,0.0,0.0,-2067.1,19826.0,0.0,11439.9,258.3,9516.0,721.7,7475.9
2023,4381.0,0.0,2077.2,0.0,-1149.0,433.8,57.4,42699.4,0.0,0.0,-2658.6,30830.0,0.0,19781.5,608.4,11959.6,501.1,7618.1
2024,-300.7,0.0,2732.2,0.0,1369.3,-4991.9,-6.6,6214.2,0.0,0.0,-2831.2,13445.6,0.0,23927.6,1143.2,-2133.9,1374.7,-5720.4
