fiscal_year,cash_deposits_begin,cash_deposits_end,dividend_payout_ratio,dividends,fixed_assets_begin,fixed_assets_end,interim_dividends,investment_securities_begin,investment_securities_end,liabilities_begin,liabilities_end,long_term_borrowings_begin,long_term_borrowings_end,net_assets_begin,net_assets_end,net_income,operating_profit,ordinary_profit,profit_before_tax,retained_earnings_begin,retained_earnings_end,short_term_borrowings_begin,short_term_borrowings_end,total_dividends,profit_after_dividends,calculated_dividend_payout_ratio,cash_deposits_change,fixed_assets_change,investment_securities_change,short_term_borrowings_change,long_term_borrowings_change,liabilities_change,net_assets_change,retained_earnings_change,retained_earnings_bridge_residual
2015,186814164.0,199963379.0,53.1,15921866.0,866097207.0,876013406.0,6288691.0,268694170.0,268953802.0,954556907.0,956099862.0,295293913.0,295709854.0,618075617.0,636310393.0,41831523.0,56493755.0,68220084.0,60567192.0,351321896.0,377868884.0,158159335.0,161432362.0,22210557.0,19620966.0,53.095262632441084,13149215.0,9916199.0,259632.0,3273027.0,415941.0,1542955.0,18234776.0,26546988.0,6926022.0
2016,199029570.0,210959019.0,40.4,14038082.0,927130027.0,918109519.0,6042100.0,332062418.0,304810679.0,943432729.0,978843026.0,299674880.0,310704391.0,686734050.0,668951969.0,49746458.0,58728333.0,74987218.0,67791875.0,372427306.0,406234768.0,157225301.0,156470995.0,20080182.0,29666276.0,40.365048703568,11929449.0,-9020508.0,-27251739.0,-754306.0,11029511.0,35410297.0,-17782081.0,33807462.0,4141186.0
2017,214005580.0,221969459.0,37.9,16717584.0,935838461.0,984543903.0,6600589.0,315821539.0,342880725.0,994457485.0,1026095113.0,305154945.0,308477939.0,682049919.0,733975024.0,61470662.0,67444032.0,83554295.0,80991616.0,403034282.0,446484435.0,163087850.0,168891368.0,23318173.0,38152489.0,37.93382443156379,7963879.0,48705442.0,27059186.0,5803518.0,3322994.0,31637628.0,51925105.0,43450153.0,5297664.0
2018,215824309.0,223201901.0,42.2,18431459.0,978665929.0,1018255997.0,7775374.0,329314263.0,341038625.0,1020595015.0,1043465052.0,312804547.0,319342860.0,721133933.0,756116495.0,62030020.0,67729516.0,83917665.0,81805843.0,429758165.0,463130754.0,163553728.0,167135140.0,26206833.0,35823187.0,42.24862897029535,7377592.0,39590068.0,11724362.0,3581412.0,6538313.0,22870037.0,34982562.0,33372589.0,-2450598.0
2019,213907537.0,221294391.0,54.3,16547347.0,1005779042.0,1039198033.0,7847755.0,346788200.0,358775521.0,1020211968.0,1045443722.0,311044101.0,321683879.0,746585010.0,760130167.0,44962972.0,55162642.0,71438502.0,63043403.0,457691469.0,475016065.0,166307802.0,175990602.0,24395102.0,20567870.0,54.255982011153534,7386854.0,33418991.0,11987321.0,9682800.0,10639778.0,25231754.0,13545157.0,17324596.0,-3243274.0
2020,223316475.0,259493436.0,68.1,17106021.0,1013938850.0,1062125583.0,9137653.0,334425913.0,360518968.0,1040377835.0,1114896445.0,326512138.0,362410829.0,741841332.0,764761634.0,38535660.0,41632021.0,62853778.0,55692836.0,466733793.0,484364778.0,172479207.0,186914295.0,26243674.0,12291986.0,68.10230835542976,36176961.0,48186733.0,26093055.0,14435088.0,35898691.0,74518610.0,22920302.0,17630985.0,5338999.0
2021,269261888.0,280975631.0,47.4,21526606.0,1091180079.0,1124048187.0,8338339.0,372698278.0,385852404.0,1150825330.0,1199379555.0,385388524.0,394736514.0,780020496.0,816343024.0,63007071.0,54215583.0,83924653.0,84440782.0,478023632.0,516474960.0,188052571.0,191484190.0,29864945.0,33142126.0,47.399354589899914,11713743.0,32868108.0,13154126.0,3431619.0,9347990.0,48554225.0,36322528.0,38451328.0,5309202.0
2022,291588592.0,295124548.0,43.8,22688645.0,1117943851.0,1150869868.0,9880450.0,384938871.0,391741162.0,1199397623.0,1241727790.0,386279159.0,394300633.0,816807588.0,856762452.0,74421916.0,63264978.0,95279976.0,98227790.0,512277546.0,554777667.0,190143733.0,200375883.0,32569095.0,41852821.0,43.76277412691176,3535956.0,32926017.0,6802291.0,10232150.0,8021474.0,42330167.0,39954864.0,42500121.0,647300.0
2023,290705782.0,301807264.0,44.4,24628794.0,1160724956.0,1217580535.0,11101722.0,396758925.0,427612273.0,1232506944.0,1278048303.0,396980893.0,397349711.0,862531675.0,917577248.0,80450637.0,75585445.0,106769423.0,106314968.0,552155774.0,600985720.0,196740671.0,204921530.0,35730516.0,44720121.0,44.412968414407956,11101482.0,56855579.0,30853348.0,8180859.0,368818.0,45541359.0,55045573.0,48829946.0,4109825.0
2024,297711563.0,301043901.0,44.7,27627421.0,1234130001.0,1271054398.0,12447250.0,437396980.0,444286435.0,1297478354.0,1313113858.0,404301746.0,411140071.0,919567661.0,956985708.0,89645291.0,84802919.0,114728819.0,115142657.0,586789158.0,637531572.0,215428207.0,219173947.0,40074671.0,49570620.0,44.70359854150063,3332338.0,36924397.0,6889455.0,3745740.0,6838325.0,15635504.0,37418047.0,50742414.0,1171794.0
