fiscal_year,employee_compensation,gross_operating_surplus,gross_mixed_income,net_taxes_on_production_and_imports,gross_domestic_product,employee_compensation_share,gross_operating_surplus_share,gross_mixed_income_share,net_production_tax_share,income_component_share_sum,gdp_identity_residual
1994,262785.7,192055.4,41494.6,29358.100000000002,525693.7,49.988367751030694,36.53370774654518,7.893303648112961,5.584639876795176,100.00001902248403,0.09999999997671694
1995,267018.0,197585.7,38574.4,30260.699999999997,533438.9,50.055967047022634,37.03998714754398,7.231268660759461,5.672758398384519,99.9999812537106,-0.09999999997671694
1996,272835.9,209163.6,37117.7,31056.300000000003,550173.4,49.5908926167641,38.01775949182567,6.746545725402209,5.644820342095783,100.00001817608778,0.09999999997671694
1997,278926.3,199955.5,37477.0,32979.9,549338.6,50.77493189082289,36.399317288098814,6.822204010422715,6.003565014364547,100.00001820370898,0.09999999997671694
1998,273238.3,195922.1,33770.1,35019.9,537950.3,50.79248027187641,36.42011167202621,6.277550175174174,6.509876470001038,100.00001858907783,0.09999999997671694
1999,269042.8,195443.2,35284.2,35146.7,534916.9,50.29618619265908,36.53711445646978,6.596202139061225,6.570497211809909,99.99999999999999,0.0
2000,270612.3,211308.8,32294.4,34443.3,548658.7,49.32252053963603,38.5137062439728,5.886063594726559,6.277727847931694,100.00001822626709,0.10000000009313226
2001,264486.7,205272.9,30490.8,34078.7,534329.2,49.498829560503154,38.41693472862797,5.706369781026379,6.377847214788186,99.99998128494569,-0.09999999997671694
2002,256615.1,209157.3,29772.6,33874.100000000006,529419.1,48.47106951751458,39.50694260936184,5.62363541474042,6.398352458383161,100.0,0.0
2003,253624.6,215148.0,29691.1,33264.5,531728.3,47.69815712272602,40.46201791403617,5.583885604734598,6.255920551905926,99.99998119340272,-0.10000000009313226
2004,256953.6,218533.2,27063.5,34186.3,536736.6,47.873314396670544,40.715166433591456,5.042231142798907,6.369288026939099,100.00000000000001,1.1641532182693481e-10
2005,262298.8,213529.8,24063.5,35097.5,534989.6,49.028766166669406,39.912888026234526,4.4979379038396265,6.560407903256438,100.0,0.0
2006,266606.5,217900.0,23715.1,34752.0,542973.6,49.10119018677888,40.130864557687524,4.36763408018364,6.400311175349962,100.0,0.0
2007,268234.4,219213.8,22422.8,34704.1,544575.1,49.25572248896434,40.25409902142055,4.117485356932405,6.372693132682709,100.0,0.0
2008,266555.5,197305.2,20984.9,33506.6,518352.3,51.42361671781913,38.06391907588719,4.048385624989028,6.464059289406066,99.9999807081014,-0.09999999997671694
2009,253571.2,196341.9,20066.1,31886.999999999996,501866.1,50.52566810151154,39.122367500016445,3.998297553869448,6.353686770236125,100.00001992563357,0.09999999997671694
2010,252105.5,207574.3,19897.6,32509.0,512086.5,49.23103811563085,40.5350072692797,3.8855935471839227,6.348341539954676,99.99998047204915,-0.1000000000349246
2011,253031.3,199780.8,17727.6,32886.7,503426.5,50.26181577648375,39.684204148967126,3.5213879285258125,6.532572282150423,99.99998013612712,-0.1000000000349246
2012,252532.9,200832.4,17936.9,32570.199999999997,503872.5,50.118412892150296,39.857781482418666,3.5598092771484855,6.463976501992071,99.99998015370952,-0.09999999997671694
2013,254907.1,211080.3,19287.9,33563.700000000004,518839.0,49.13028897210888,40.683198448844436,3.717511598010173,6.4690009810365074,100.0,5.820766091346741e-11
2014,259614.5,215566.1,18288.1,39022.7,532491.4,48.754684113208214,40.482550516308805,3.434440443545191,7.328324926937786,99.99999999999999,-1.1641532182693481e-10
2015,262383.3,228382.6,20309.9,42268.6,553344.5,47.417711750997796,41.27313093380345,3.670389784302546,7.638749458971761,99.99998192807556,-0.09999999997671694
2016,267553.8,227424.5,18504.2,42152.600000000006,555635.1,48.15278948360174,40.930549563913445,3.3302791706283497,7.586381781856476,100.0,0.0
2017,272398.0,232626.2,18438.2,42564.5,566026.9,48.12456793131209,41.098082087618096,3.257477692314623,7.519872288755181,99.99999999999999,0.0
2018,280642.1,233669.7,15785.2,42916.200000000004,573013.2,48.976550627455005,40.77911294190082,2.7547707452463577,7.489565685397824,100.0,0.0
2019,285948.6,226041.0,14921.3,43405.4,570316.4,50.13858973720552,39.63431526780573,2.616319642921017,7.610757817941059,99.99998246587333,-0.09999999997671694
2020,281361.7,213529.4,11799.6,45656.0,552346.8,50.93931928274048,38.658574649115366,2.136266562963703,8.265821400612802,99.99998189543236,-0.10000000009313226
2021,288823.0,226383.9,12334.6,47416.2,574957.6,50.23379115259977,39.37401644921295,2.1453060190873208,8.246903771686815,100.00001739258686,0.09999999997671694
2022,296362.4,236750.1,12511.8,46003.4,591627.6,50.09272724937106,40.01674364076322,2.114810059571257,7.77573595281897,100.0000169025245,0.10000000009313226
2023,301585.2,257492.1,13803.5,45169.200000000004,618050.0,48.79624625839333,41.66201763611358,2.2333953563627538,7.3083407491303305,100.0,0.0
2024,314065.9,259437.5,13463.0,49015.200000000004,635981.5,49.38286726893786,40.79324634442983,2.116885475442289,7.70701663491784,100.00001572372781,0.09999999997671694
