fiscal_year,capital_financial_corporations,capital_general_government,capital_households,capital_nonfinancial_corporations,capital_npish,capital_rest_of_world,financial_financial_corporations,financial_general_government,financial_households,financial_nonfinancial_corporations,financial_npish,financial_rest_of_world,statistical_discrepancy
1994,13482.1,-20678.2,20166.3,3888.6,-966.5,-12238.8,-2909.1,-20672.0,38734.0,-3200.1,286.0,-12238.8,-3653.5
1995,13952.2,-24459.5,27015.3,-7793.5,-593.5,-9388.2,1691.9,-21855.2,36894.8,-8085.9,742.6,-9388.2,1267.3
1996,14046.1,-24011.7,12509.5,5687.5,-460.7,-6956.2,2808.3,-22870.8,27601.3,-1019.7,437.1,-6956.2,-814.4
1997,14696.2,-19771.8,25849.7,-10565.2,-880.0,-12251.0,3693.3,-17369.3,31085.3,-6547.1,1388.8,-12251.0,2922.1
1998,11817.8,-56679.5,33465.6,23287.6,-2657.1,-12240.8,3665.3,-57597.3,34264.7,35893.3,-3985.2,-12240.8,3006.4
1999,15922.9,-39294.8,29739.4,6293.4,-2568.1,-12038.3,-5975.5,-38429.6,20387.8,31480.0,4575.6,-12038.3,1945.5
2000,15201.0,-34612.0,23932.6,13667.8,-2446.5,-12928.6,17797.2,-31839.6,15549.9,8598.7,2822.4,-12928.6,-2814.2
2001,16572.9,-33075.8,14205.2,14687.9,-2453.5,-11006.3,13340.6,-37366.5,13744.3,19909.4,1378.5,-11006.3,1069.5
2002,20078.3,-40590.4,1545.3,32606.2,-1985.6,-12782.0,10916.7,-36680.9,10564.5,29288.0,-1306.3,-12782.0,1128.1
2003,16438.3,-36988.8,7190.7,30810.2,-862.5,-17270.7,9423.5,-38837.0,4319.3,40335.6,2029.3,-17270.7,682.8
2004,12743.9,-26931.4,-1068.8,36787.6,-572.3,-18825.6,13252.2,-31268.5,5115.0,29122.3,2604.6,-18825.6,-2133.4
2005,6495.8,-21564.1,1183.5,29736.2,-1042.8,-18691.4,22965.0,-21215.4,8917.0,7857.6,167.2,-18691.4,3882.8
2006,14479.5,-16371.0,10538.8,13206.6,-318.0,-21377.9,16943.8,-13110.0,19920.8,-4280.7,1904.0,-21377.9,-157.9
2007,13180.4,-15695.0,11821.4,15647.9,-243.6,-23952.0,3698.2,-11025.7,17727.8,14506.2,-954.5,-23952.0,-759.2
2008,10714.5,-27871.5,16174.7,7534.5,-477.2,-10194.6,11506.1,-27070.2,14559.2,10093.4,1106.1,-10194.6,4119.4
2009,8782.0,-50405.0,28265.3,31597.2,-948.8,-16266.5,16720.7,-46177.2,14184.1,31031.3,507.6,-16266.5,-1024.2
2010,5591.0,-45065.6,19671.0,40441.2,51.2,-17781.7,5044.9,-39986.6,20250.6,31661.0,811.8,-17781.7,-2907.1
2011,6421.6,-44793.6,16736.4,30108.3,-803.1,-8447.9,3754.4,-41125.7,21478.8,25243.4,-903.0,-8447.9,778.2
2012,5166.5,-41193.4,6985.9,32506.0,-252.3,-3878.5,4927.4,-36509.3,15552.6,20110.3,-202.5,-3878.5,665.8
2013,4869.6,-37646.9,-4210.4,38638.9,-157.2,-1809.1,1907.0,-32369.9,5232.3,27101.6,-61.9,-1809.1,315.2
2014,3789.6,-27153.2,-682.8,30365.5,858.5,-8432.4,-5819.3,-23836.0,19279.8,16660.9,2147.0,-8432.4,1254.7
2015,-653.2,-19493.2,1997.1,36505.5,638.3,-17594.8,-2263.9,-14620.4,11345.7,24170.0,-1036.6,-17594.8,-1399.6
2016,-872.0,-18958.3,4488.5,35421.5,710.6,-21428.6,6370.6,-13584.0,18578.3,7768.8,2294.9,-21428.6,638.2
2017,305.7,-16452.9,2970.7,33093.3,535.9,-22094.0,2293.9,-12281.2,10222.0,19424.2,2435.1,-22094.0,1641.2
2018,1350.7,-13495.6,6800.7,25583.2,2048.7,-19218.9,251.0,-10580.0,21134.9,9288.9,-875.9,-19218.9,-3068.8
2019,2934.6,-17512.8,12607.9,18882.7,995.9,-18210.8,9260.0,-12823.4,17811.7,4067.3,-104.8,-18210.8,302.6
2020,6503.1,-55614.7,37465.5,24359.5,2016.3,-16725.2,18943.4,-51597.8,40659.0,6338.6,2382.0,-16725.2,1995.5
2021,7500.7,-35852.0,19165.9,25104.5,2235.9,-19751.2,7122.1,-35742.3,30090.4,15085.9,3195.1,-19751.2,1596.3
2022,4899.5,-19958.8,8746.4,14810.9,399.5,-8921.3,-1937.9,-21413.7,17404.6,11439.9,3428.4,-8921.3,23.8
2023,7156.4,-11906.5,5249.0,25530.3,-1498.1,-25871.5,5968.3,-14731.5,11895.5,19781.5,2957.7,-25871.5,1340.4
2024,5220.1,-8911.9,12881.2,13856.2,-237.1,-29241.7,3814.3,-5757.4,6026.3,23927.6,1230.9,-29241.7,6433.2
