fiscal_year,net_saving,net_capital_transfers,net_fixed_capital_formation,changes_in_inventories,net_land_purchases,net_capital_formation,net_lending_capital_account,net_saving_ratio,net_capital_transfers_ratio,net_fixed_capital_formation_ratio,changes_in_inventories_ratio,net_land_purchases_ratio,net_capital_formation_ratio,net_lending_capital_account_ratio,net_lending_identity_residual
1994,5471.7,4612.099999999999,14980.300000000003,-821.3,-7963.8,6195.2000000000035,3888.6,1.0481376721562823,0.8834760234939761,2.8695682822893724,-0.1573250489138576,-1.5255147017413604,1.1867285316341547,0.7448851640161046,-4.092726157978177e-12
1995,11915.3,5199.4,20489.899999999994,1288.3,3130.1,24908.299999999992,-7793.5,2.228382614602187,0.9723844608497151,3.83199222301892,0.24093605048903488,0.5853868909692835,4.658315164477238,-1.4575293871662605,-0.09999999999490683
1996,21197.8,5027.4,24202.399999999994,1509.8,-5174.5,20537.699999999993,5687.5,3.8586425270178517,0.915139280506918,4.405570856216062,0.27482939207330725,-0.9419159420342618,3.7384843062551067,1.0352975012696615,3.637978807091713e-12
1997,9528.7,3952.0000000000005,22571.5,3636.2,-2161.8,24045.9,-10565.2,1.725398892226081,0.7156040616324865,4.087109584295968,0.658420923306692,-0.39144556185149515,4.354084945751165,-1.9130819918925974,0.0
1998,9607.5,27935.0,13866.099999999991,-217.6,606.4,14254.89999999999,23287.6,1.7760201509658717,5.163999262787575,2.563255062743467,-0.0402250309497969,0.11209769654391931,2.6351277283375896,4.304891685415855,1.0913936421275139e-11
1999,11798.6,3261.8,11645.0,-3213.2,335.2,8767.0,6293.4,2.1976953498699108,0.6075672276546095,2.1690846667600483,-0.5985146287018797,0.06243685532829268,1.6330068933864617,1.1722556841380583,1.8189894035458565e-12
2000,28288.9,3729.1000000000004,15337.100000000006,673.0,2340.2,18350.300000000007,13667.8,5.182593211070186,0.6831799166246065,2.809792898893367,0.12329518754883488,0.42873016032954436,3.3618182467717466,2.503973201158938,-0.10000000000582077
2001,21326.6,3822.2999999999997,9264.5,-1010.9,2207.4,10461.0,14687.9,3.983311875803957,0.7139165634881071,1.730392696134675,-0.18881256155459475,0.4122908778075106,1.953871012387591,2.743357426904473,-1.8189894035458565e-12
2002,26325.0,3404.9,4284.900000000009,-913.5,-6247.8,-2876.3999999999915,32606.2,4.961858247484861,0.6417713636034645,0.807637850129076,-0.17218072209220972,-1.1776143574030737,-0.5421572293662075,6.145767991990157,0.09999999999126885
2003,32891.7,4342.2,5522.0,656.8,245.0,6423.8,30810.2,6.1778764567455475,0.8155727782534961,1.0371684587342374,0.12336331830797664,0.04601707214594135,1.2065488491881553,5.786919168289315,-0.10000000000582077
2004,36725.7,2844.0,6940.699999999997,1308.8,-5467.4,2782.0999999999967,36787.6,6.869711965809408,0.5319833476492472,1.298290021458906,0.24481709050750167,-1.0227024454773186,0.5204046664890889,6.881290646969567,0.0
2005,24887.9,2594.3,10653.100000000006,457.0,-13364.0,-2253.899999999994,29736.2,4.618514512897673,0.48143122564822394,1.976924407336506,0.08480671862207081,-2.479993408458106,-0.4182622824995294,5.518226578314272,-0.10000000000582077
2006,24243.0,2497.1000000000004,11699.5,855.1,978.8,13533.4,13206.6,4.4661567452820545,0.4600272247099707,2.1553355954884874,0.15753044725861837,0.18031902909219466,2.4931850718393003,2.432980475693684,0.09999999999854481
2007,24937.6,2223.8999999999996,9492.599999999991,1670.0,350.9,11513.49999999999,15647.9,4.585669525293394,0.40894354137126177,1.745553964126461,0.3070892189801733,0.06452551313781005,2.1171686962444443,2.877425981844223,0.10000000000945874
2008,9276.9,2440.3,2271.0,1417.9,493.7,4182.6,7534.5,1.7755794237276392,0.4670683598748028,0.4346646909296714,0.27138311988955577,0.0944931562800435,0.8005409670992707,1.442087676710528,0.1000000000003638
2009,20558.6,3428.6,-8493.699999999997,-4539.7,5423.5,-7609.899999999998,31597.2,4.1048083237444795,0.6845673255372604,-1.6958844697298685,-0.9064137804764338,1.0828766522928694,-1.519421597913433,6.308817213575782,-0.10000000000582077
2010,30848.4,3470.1000000000004,-7587.799999999988,1209.6,255.5,-6122.699999999988,40441.2,6.058454053718592,0.6815083249636572,-1.4902016852999136,0.2375587072061438,0.05017877785314959,-1.20246420024062,7.942426578922871,-7.275957614183426e-12
2011,25428.0,4935.9,-3645.100000000006,1721.6,2179.0,255.4999999999941,30108.3,5.043189799698416,0.9789476377352292,-0.7229405041246156,0.3414486219585022,0.4321657453807947,0.05067386321468127,5.971443741004397,0.10000000000945874
2012,25207.2,3901.3,-2053.5,149.4,-1493.4,-3397.5,32506.0,4.9960924671130025,0.7732415953357753,-0.407005771415173,0.029611230703397547,-0.2959933864287409,-0.6733879271405164,6.442721989589294,0.0
2013,32556.3,3335.8999999999996,1828.800000000003,-1410.3,-3165.3,-2746.7999999999975,38638.9,6.271026989668965,0.6425643864578192,0.3522652807200641,-0.27165339315371034,-0.609703244238417,-0.5290913566720634,7.442663470699072,0.09999999999126885
2014,32146.2,2961.9999999999995,5806.600000000006,292.3,-1356.3,4742.600000000006,30365.5,6.022751266941341,0.5549455068617831,1.087895536847952,0.054763866190310345,-0.2541095850630103,0.8885498179752519,5.68912822032798,0.09999999999126885
2015,43423.8,2630.9,8379.0,1341.6,-171.4,9549.2,36505.5,7.867415751101242,0.4766598984789967,1.5180863162246812,0.24306774100095857,-0.031053824394427776,1.730100232831212,6.613975416749026,0.0
